Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,3,13,objective,,,,The device used in *She gave him lots of cash and tender attention* is,bathos,pathos,suspense,zeugma,D,https://myschool.ng/classroom/literature-in-english/71976?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,14,objective,,,,The Shakespearean sonnet differs from the Petrachan sonnet by ending with a,couplet,quatrain,sestet,tercet,A,https://myschool.ng/classroom/literature-in-english/71977?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,15,passage-based,,,,Read the lines below and answer the question: *The closing of the day* *Is the beginning of the day* The lines,are alliterated,are repeated,end stop,run on,D,https://myschool.ng/classroom/literature-in-english/71978?exam_type=waec&exam_year=2024&type=obj&page=3
2024,4,16,objective,,,,One of the important means available to a writer of a literary work is,diction,fiction,stage,stanza,A,https://myschool.ng/classroom/literature-in-english/71979?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,17,passage-based,,,,"Read the lines below and answer the question: *The curl of my lips, the swing of my waist, the* *The ride of my breast, the stride of my steps, the* *Flash of my tech and the palm of my hand* The line is an example of",euphemism,parallelism,personification,synecdoche,B,https://myschool.ng/classroom/literature-in-english/71981?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,18,passage-based,,,,"Read the lines below and answer the question: *The curl of my lips, the swing of my waist, the* *The ride of my breast, the stride of my steps, the* *Flash of my tech and the palm of my hand* The image created in the line appeals to the sense of",sight,taste,smell,touch,A,https://myschool.ng/classroom/literature-in-english/71982?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,19,objective,,,,Characters in a play that the author uses as a vehicle for commentary is,chorus,dancers,drummers,singers,A,https://myschool.ng/classroom/literature-in-english/71984?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,20,objective,,,,The _______ comes after the loose ends of the plot have been tied up.,climax,denouncement,epilogue,epilogue,C,https://myschool.ng/classroom/literature-in-english/71985?exam_type=waec&exam_year=2024&type=obj&page=4
2024,5,21,passage-based,,,,The passage is about,a meeting place,jenny's expert cooking,the disappointment of love,the passion of love,D,https://myschool.ng/classroom/literature-in-english/71988?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,22,objective,,,,The figure of speech used in *she was listening to the silence of the room* is,conceit,irony,oxymoron,zeugma,C,https://myschool.ng/classroom/literature-in-english/71989?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,23,objective,,,,The technique of narration is,First person,Second person,Third person,stream of consciousness,D,https://myschool.ng/classroom/literature-in-english/71991?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,24,objective,,,,"In _____ and moved inwards the kitchen, like one sleepwalking, the simile portrays one who is",absent minded,disappointed,passion driven,morose,A,https://myschool.ng/classroom/literature-in-english/71992?exam_type=waec&exam_year=2024&type=obj&page=5
2024,5,25,objective,,,,The mood is one of,anxiety,despondency,sorrow,regret,A,https://myschool.ng/classroom/literature-in-english/71993?exam_type=waec&exam_year=2024&type=obj&page=5
2024,6,26,objective,,,,The mood is one of,anxiety,despondency,sorrow,regret,A,https://myschool.ng/classroom/literature-in-english/71994?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,27,objective,,,,The poem is about,unforgettable,sacrificial,unrequited,selfish,C,https://myschool.ng/classroom/literature-in-english/71995?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,28,objective,,,,The lines that provide evidence for what the poem is about are _____,2 and 3,7 and 8,9 and 10,11 and 12,B,https://myschool.ng/classroom/literature-in-english/71996?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,29,objective,,,,The poem is a,haiku,kenning,limerick,lyric,D,https://myschool.ng/classroom/literature-in-english/71997?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,30,objective,,,,The dominant image is one of,beginning,flying,running,waiting,B,https://myschool.ng/classroom/literature-in-english/71998?exam_type=waec&exam_year=2024&type=obj&page=6
2024,7,31,objective,,,,"In the poem, cupid is",an allusion,a metonymy,the persona's mistress,the persona's rival,A,https://myschool.ng/classroom/literature-in-english/71999?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,32,objective,,,,The speaker is,Helena,Hermia,Philostrate,Theseus,D,https://myschool.ng/classroom/literature-in-english/72000?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,33,objective,,,,The speaker is addressing,Hippolyta,Lysander,Philostrate,Quince,A,https://myschool.ng/classroom/literature-in-english/72001?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,34,objective,,,,The speech is in reaction to,Hippolyta's rejection of the burden the poor bear,Philostrate's rejection of the play-within-the play,the address of the chorus,the arrival of the players,D,https://myschool.ng/classroom/literature-in-english/72002?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,35,objective,,,,The speaker's experience is that,the poor are eloquent,even the eloquent can falter in their speech,the poor are inhibited,even the poor can be tongue-tied,B,https://myschool.ng/classroom/literature-in-english/72003?exam_type=waec&exam_year=2024&type=obj&page=7
2024,8,36,objective,,,,"At the end of the speech,",Hippolyta storms out of the place,Philostrate announces the prologue,the ladies settle down,the curtain is drawn,B,https://myschool.ng/classroom/literature-in-english/72004?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,37,objective,,,,The speaker and the addressee are,Demetrius and Lysander,Hermia and Lysander,Demetrius and Hermia,Lysander and Helena,C,https://myschool.ng/classroom/literature-in-english/72006?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,38,objective,,,,Earlier the addressee has accused the speaker of,disloyalty,infidelity,murder,theft,C,https://myschool.ng/classroom/literature-in-english/72007?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,39,objective,,,,"In turn, the speaker accuses the addressee of",cruelty,discrimination,deceit,indiscretion,A,https://myschool.ng/classroom/literature-in-english/72009?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,40,objective,,,,The underlined lines portray the addressee as a,coward,hunter,painter,traitor,B,https://myschool.ng/classroom/literature-in-english/72011?exam_type=waec&exam_year=2024&type=obj&page=8
2024,9,41,objective,,,,The setting of the extract is,another part of the wood,Helena's place,the wood,Theseus' palace,A,https://myschool.ng/classroom/literature-in-english/72013?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,42,objective,,,,The speaker is,Egeus,Helena,Lysander,Titania,B,https://myschool.ng/classroom/literature-in-english/72014?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,43,objective,,,,The addressee is,Demetrius,Hermia,Oberon,Puck,A,https://myschool.ng/classroom/literature-in-english/72016?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,44,objective,,,,*The wildest* refers to,good people,the least cruel man,wild beasts,the most deceptive,C,https://myschool.ng/classroom/literature-in-english/72017?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,45,objective,,,,The speech is intended to ____ the addressee.,confuse,pacify,provoke,reclaim,C,https://myschool.ng/classroom/literature-in-english/72018?exam_type=waec&exam_year=2024&type=obj&page=9
2024,10,46,objective,,,,Another character present at the scene is,Egeus,Lysander,Oberon,Theseus,C,https://myschool.ng/classroom/literature-in-english/72019?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,47,objective,,,,*...you and I* in the first line refers to,Demetrius and Helena,Hermia and Helena,Hippolyta and Lysander,Oberon and Titania,B,https://myschool.ng/classroom/literature-in-english/72020?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,48,objective,,,,The couple are going to the wood because,it is their favourite spot,they are running away from the Athenian law,they want to have their peace,the wood is romantic,B,https://myschool.ng/classroom/literature-in-english/72021?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,49,objective,,,,The underlined expression means being,careful,faithful,flirtatious,reckless,B,https://myschool.ng/classroom/literature-in-english/72023?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,50,objective,,,,"*Farewell, sweet playfellow* refers to",Demetrius,Hermia,Helena,Lysander,C,https://myschool.ng/classroom/literature-in-english/72024?exam_type=waec&exam_year=2024&type=obj&page=10
