Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,3,11,objective,,,,Bye-laws are made through,delegated legislation,executive instrument,presidential order,emergency power,A,https://myschool.ng/classroom/government/45234?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,,Power is transformed into legal authority through,force,prayers,influence,legitimacy,D,https://myschool.ng/classroom/government/45235?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,,Conventions are mostly used by states that have,a large number of illiterates,a lot of people not interested in political activities,unwritten constitution,rigid constitution,C,https://myschool.ng/classroom/government/45237?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,constitution,,,,One advantage of a flexible constitution is that it,can lead to dictatorship,can easily be manipulated,is best suited for a federation,can be amended by a simple majority,D,https://myschool.ng/classroom/government/45260?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,constitution,,,,A constitution that requires complicated procedure for its amendment is,rigid,flexible,written,unwritten,A,https://myschool.ng/classroom/government/45262?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,objective,,,,The official who enforces discipline among members of his party in parliament is the,majority leader,minority leader,clerk of the House,chief whip,D,https://myschool.ng/classroom/government/45263?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,objective,,,,"When an action of the executive is declared ultra-vires, it is a control exercised by the",public,minister,judiciary,parliament,C,https://myschool.ng/classroom/government/45265?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,constitution,,,,"In a presidential system of government, the president can constitutionally be removed from the office through",persuasion,impeachment,coup d' etat,vote -of-no- confidence,B,https://myschool.ng/classroom/government/45269?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,objective,,,,One of the features of an absolute monarch is that the ruler,is elected by the electorate,has a definite tenure of office,is elected by the representatives of the people,wields the supreme power in a state,D,https://myschool.ng/classroom/government/45270?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,objective,,,,A notable feature of cabinet system of government is,collective responsibility,the separation of powers,violation of human rights,impeachment of the executive,A,https://myschool.ng/classroom/government/45272?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,objective,,,,All the following are the conditions for the adoption of federalism except,size,defence,population,homogeneity,D,https://myschool.ng/classroom/government/45273?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,objective,,,,"The privileged citizens enjoyed in a country irrespective of sex, tribe or creed is",right,constitution,manifesto,franchise,A,https://myschool.ng/classroom/government/45275?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,objective,,,,The judicial order requiring a detained person to be brought before a judge is the writ of,Habeas corpus,Mandamus,Prohibition,Certiorari,A,https://myschool.ng/classroom/government/45276?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,objective,,,,A political party can contest and win a widely accepted election if it has,the ability to rig election,intolerant attitude to oppositions,a broad-based membership,the support of very wealthy politicians,C,https://myschool.ng/classroom/government/45279?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,objective,,,,Political parties aim at all the following except,contesting elections,forming a government,organizing general elections,educating the electorate politically,C,https://myschool.ng/classroom/government/45283?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,objective,,,,Which of the following is not a means through which political parties reach the populace?,Posters,newspapers,schools,the internet,C,https://myschool.ng/classroom/government/45286?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,objective,,,,An association whose ultimate aim is to influence government policies is known as,civil service,pressure group,political party,public corporation,B,https://myschool.ng/classroom/government/45288?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,objective,,,,Membership of pressure groups is usually limited because they,pursue specific and narrow objectives,promote other people's interests,do not have dynamic leadership,promote the interest of the government,A,https://myschool.ng/classroom/government/45291?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,objective,,,,Elections are conducted to,provide permanent employment for the people,make the people choose their leaders,known the number of people in a country,know the social amenities in the community,B,https://myschool.ng/classroom/government/45296?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,30,objective,,,,Suffrage is also known as,franchise,plebiscite,public opinion,electoral college,A,https://myschool.ng/classroom/government/45299?exam_type=waec&exam_year=2016&type=obj&page=6
2016,7,31,objective,,,,For an election to be fair and free Electoral Commission must be,ready to manipulate results,ready to reject criticisms,headed by a minister in the executive,independent of other institutions of government,D,https://myschool.ng/classroom/government/45301?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,32,objective,,,,Which of the following categories of people can vote in periodic elections?,Minors,Aliens,Lunatics,Citizens,D,https://myschool.ng/classroom/government/45303?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,33,objective,,,,The anonymity of a civil servant means that he,is above the law of the land,should take part in partisan politics,receives neither praise nor blame publicly,should be prosecuted for professional misconduct,C,https://myschool.ng/classroom/government/45304?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,34,objective,,,,Which of the following functions is performed by the civil service?,Enactment of laws,Settlement of disputes,Appointment of ministers,Implementation of policies,D,https://myschool.ng/classroom/government/45306?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,35,objective,,,,Public corporations are established to,make maximum profits,help businessmen,provide employment for defeated politicians,provide utility services to the public at minimal cost,D,https://myschool.ng/classroom/government/45310?exam_type=waec&exam_year=2016&type=obj&page=7
2016,8,36,objective,,,,A minister controls public corporation by,provide the corporation's finances,auditing the accounts of the corporation personally,criticizing the corporation through the mass media,ensuring the effective administration of the corporation,D,https://myschool.ng/classroom/government/45311?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,37,objective,,,,An institution of government that makes bye-laws is the,judiciary,executive,legislature,local authorities,D,https://myschool.ng/classroom/government/45312?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,38,objective,,,,Local governments are created to,give more powers to the traditional rulers,bring the government closer to the people,make the people obey more of the local laws,take over the functions of the central government,B,https://myschool.ng/classroom/government/45313?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,39,objective,,,,Some pre-colonial West African governments were democratic because of the existence of,powerful traditional rulers,age grades,religious institutions,checks and balances,D,https://myschool.ng/classroom/government/45314?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,40,objective,,,,One of the measures introduced by indirect rule was,collection and keeping of taxes by the chiefs only,not recognizing traditional institutions,fixing and collection of taxes by British officials themselves,exclusion of the educated elite from the colonial administration,D,https://myschool.ng/classroom/government/45315?exam_type=waec&exam_year=2016&type=obj&page=8
2016,9,41,objective,,,,Which of the following policies was replaced by the French Policy of Association?,Apartheid,Assimilation,Indirect rule,Frenchification,,https://myschool.ng/classroom/government/45316?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,42,objective,,,,The appointment and deposition of chiefs by their people was a demand of the,Pan African Movements,National Congress of British West Africa,West African Students' Union,West African Youth League,A,https://myschool.ng/classroom/government/45317?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,43,constitution,,,,The desire for constitutional development in British West African Colonies was as a result of the,rigidity of the constitution,desire of the British to review the constitution,power of traditional rulers in British West Africa,growing agitation of the people for political independence,D,https://myschool.ng/classroom/government/45318?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,44,objective,,,,The following are features of military regimes except,respect for human rights,suspension of the constitution,rules by decrees and edicts,curtailment of human rights,A,https://myschool.ng/classroom/government/45319?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,45,objective,,,,Military regimes in West Africa have often made use of civilians because,only civilians can make decrees,the soldiers are democratic,civilians are part of the armed forces,they need the experience of civilians in government,D,https://myschool.ng/classroom/government/45320?exam_type=waec&exam_year=2016&type=obj&page=9
2016,10,46,objective,,,,One criticism levelled against the pre-independence political parties in West Africa was that some of them,did not possess credible programmes,did not contribute to political development,were not national in outlook,were instruments of the colonial administration,C,https://myschool.ng/classroom/government/45321?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,47,objective,,,,Foreign policy is the,general principles that guide foreigners in a country,policy made by a country during war,policy made by a country in peace time,general principles of a country in the conduct of international relations,D,https://myschool.ng/classroom/government/45322?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,48,objective,,,,The Commonwealth of Nations was originally made up of,former Portuguese colonies in Africa,former Spanish colonies in Africa,independent nations formerly under British Empire,France and her former colonies in West Africa,C,https://myschool.ng/classroom/government/45323?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,49,objective,,,,Which of the following countries was not instrumental to the formation of the United Nations Organization (UNO)?,United States of America,Britain,Germany,USSR,C,https://myschool.ng/classroom/government/45324?exam_type=waec&exam_year=2016&type=obj&page=10
2017,1,1,objective,,,,"According to Karl Max, socialism developed as a consequence of the evils of ________",monarhcy,communalism,feudalism,capitalism,D,https://myschool.ng/classroom/government/46869?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,2,objective,,,,"In the United States of America, legislature is called the",Congress,National Assembly,National Security,Parliament,A,https://myschool.ng/classroom/government/46870?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,3,objective,,,,Which of the following agents can be considered as the most effective agent of political socialisation? The _______,family,peer group,school,mass media,A,https://myschool.ng/classroom/government/46871?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,4,objective,,,,A corrupt judicial system erodes the observance of _______,national peace and stability,the rule of law,international laws and conventions,democratic values of the executive,B,https://myschool.ng/classroom/government/46872?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,5,objective,,,,The body responsible for the implementation of law is the _____,judiciary,legislature,executive,court,C,https://myschool.ng/classroom/government/46873?exam_type=waec&exam_year=2017&type=obj&page=1
2017,2,6,constitution,,,,"In a constitutional monarchy, the king or queen is referred to as",ceremonial head,political head,constitutional head,democratic leader,A,https://myschool.ng/classroom/government/46874?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,7,objective,,,,Military intervention into the politics of a state involves ______,an overthrow of a legitimate government by pressure groups,the seizure of power from a legitimate government by the armed forces,violent overthrow of a democratic government by the police,the legitimate seizure of power by the police and civilians,B,https://myschool.ng/classroom/government/46875?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,8,objective,,,,Local government are vital in modern politics as they ________,encourage dictatorship,train the local people in the art of governance,make laws for the whole country,execute government policies at all levels,B,https://myschool.ng/classroom/government/46876?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,9,objective,,,,Which of the following is a civil/public servant?,House majority leader,Clerk of the House,Party whip,Minister of education,D,https://myschool.ng/classroom/government/46877?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,10,objective,,,,"In a military regime, the arms of government that are usually fused are _________",executive and judiciary,legislature and local council,legislature and executive,judiciary and the press,C,https://myschool.ng/classroom/government/46878?exam_type=waec&exam_year=2017&type=obj&page=2
2017,3,11,constitution,,,,A constitution is considered to be flexible if it _______?,can be amended by a simple majority,can be altered through special procedure,requires two third majority,is difficult to amend,A,https://myschool.ng/classroom/government/46879?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,12,objective,,,,The principle of checks and balances is important because it,prevents each organ of government from being dictatorial,frees other organs from judicial control,makes the organs confront themselves,makes the government to perform it civic responsibilities,A,https://myschool.ng/classroom/government/46880?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,13,objective,,,,Which of the following is a fundamental right? Right to,life,education,criticize government,public office,A,https://myschool.ng/classroom/government/46881?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,14,objective,,,,Government maintains law and order through the following except ________?,police,immigration,the legislature,prison service,C,https://myschool.ng/classroom/government/46882?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,15,objective,,,,A corrupt judicial system erodes the observance of ______?,national peace and stability,the rule of law,international laws and conventions,democratic values of the executive,B,https://myschool.ng/classroom/government/46883?exam_type=waec&exam_year=2017&type=obj&page=3
2017,4,16,objective,,,,Which of the following statements about public corporation is not true?,It is managed by a board of directors,It is established by an act of parliament,A huge capital is needed for its establishment,It is financed mainly by private individuals,D,https://myschool.ng/classroom/government/46884?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,17,objective,,,,Acceptability of the government in power by the governed is known as,legitimacy,sovereignty,democracy,authority,A,https://myschool.ng/classroom/government/46885?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,18,objective,,,,Which of the following countries practiced totalitarianism?,"Germany, Russia and Japan","Italy, Russia and Germany","Italy, Germany and Japan","Russia, Italy and England",B,https://myschool.ng/classroom/government/46886?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,19,objective,,,,A function of government is _________,controlling electoral commission,organizing pressure groups,making of laws,forming political parties,C,https://myschool.ng/classroom/government/46887?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,20,objective,,,,The excessive power of the traditional rulers in the pre-colonial era could checked by ________,the hunters,the priests,children of the chiefs,the farmers,B,https://myschool.ng/classroom/government/46888?exam_type=waec&exam_year=2017&type=obj&page=4
2017,5,21,objective,,,,The post-Second World War Nationalism in West Africa was characterised by,disorganization,lukewarm demands,disorientation,increased agitation,D,https://myschool.ng/classroom/government/46889?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,22,objective,,,,The rights of citizens to benefit from public utility is classified as,social rights,natural rights,religious rights,political rights,A,https://myschool.ng/classroom/government/46890?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,23,objective,,,,Which of the following strengthen the power of the Supreme Court against the executive and the legislature?,Judicial precedent,Judicial review,Court injunction,Oath swearing,B,https://myschool.ng/classroom/government/46891?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,24,objective,,,,Policy of assimilation was successfully operated by the French in,Lome,Goree,Bamako,Abidjan,B,https://myschool.ng/classroom/government/46892?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,25,objective,,,,The theory of separation of powers was propounded by ________,A. V Decay,Max Weber,Charles Montesquieu,Gabriel Almond,C,https://myschool.ng/classroom/government/46893?exam_type=waec&exam_year=2017&type=obj&page=5
2017,6,26,objective,,,,Which of the following is not a method used by pressure groups to achieve their objectives?,Employing lobbyists,Embarking on demonstrations,Embarking on strikes and boycotts,Contesting for political positions,D,https://myschool.ng/classroom/government/46894?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,27,theory,,,,Government is defined as an agency established to manage the affairs of _________,rulers,foreigners,the state,all workers,C,https://myschool.ng/classroom/government/46895?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,28,objective,,,,Provision of political education through rallies and newspapers is a function of _________,political parties,pressure groups,educated elite,the clergy,A,https://myschool.ng/classroom/government/46896?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,29,objective,,,,Which system of government has fusion of ceremonial and executive functions as a feature ________,Presidential,Cabinet,Confederal,Republican,A,https://myschool.ng/classroom/government/46897?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,30,objective,,,,"An agreed set of regulations, conventions and customs by which a country or an organisation is governed is the ________",constitution,sovereignty,suffrage,culture,A,https://myschool.ng/classroom/government/46898?exam_type=waec&exam_year=2017&type=obj&page=6
2017,7,31,objective,,,,A system of government which is based on public ownership of means of production and distribution is called,socialism,capitalism,feudalism,oligarchy,A,https://myschool.ng/classroom/government/46899?exam_type=waec&exam_year=2017&type=obj&page=7
