Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2021,4,18,objective,,,,A dramatic performance without words is,mime,an aside,a monologue,a soliloguy,A,https://myschool.ng/classroom/literature-in-english/61672?exam_type=waec&exam_year=2021&type=obj&page=4
2021,4,19,theory,,,,Utopia is a term used to describe,strange circumstances,difficult conditions,pleasant feelings,ideal societies,D,https://myschool.ng/classroom/literature-in-english/61673?exam_type=waec&exam_year=2021&type=obj&page=4
2021,4,20,objective,,,,The lawyer addressed the bench illustrates,simile,oxymoron,alliteration,metonymy,D,https://myschool.ng/classroom/literature-in-english/61674?exam_type=waec&exam_year=2021&type=obj&page=4
2021,5,21,passage-based,,,,The dominant feeling in the passage is that of,nostalgia,anger,expectancy,fear,A,https://myschool.ng/classroom/literature-in-english/61676?exam_type=waec&exam_year=2021&type=obj&page=5
2021,5,22,objective,,,,The feelings is conveyed by the,mouldings on the door,boys; actions,tender care of his mother,little girl's taunts,C,https://myschool.ng/classroom/literature-in-english/61677?exam_type=waec&exam_year=2021&type=obj&page=5
2021,5,23,passage-based,,,,The dominant literary device in the passage is,personification,antithesis,litotes,parallelism,D,https://myschool.ng/classroom/literature-in-english/61678?exam_type=waec&exam_year=2021&type=obj&page=5
2021,5,24,objective,,,,". ..and he had rushed at them, scattering them as some strieked and some laughed illustrates",onomatopoeia,climax,metaphor,metonymy,A,https://myschool.ng/classroom/literature-in-english/61680?exam_type=waec&exam_year=2021&type=obj&page=5
2021,5,25,objective,,,,The main character is,playful,inquisitive,sad,humorous,B,https://myschool.ng/classroom/literature-in-english/61681?exam_type=waec&exam_year=2021&type=obj&page=5
2021,6,26,objective,,,,The poem is about,debtors,dreams,costumes,appearances,D,https://myschool.ng/classroom/literature-in-english/61682?exam_type=waec&exam_year=2021&type=obj&page=6
2021,6,27,objective,,,,The poet's tone is,Supplicatory,defiant,conciliatory,compliant,D,https://myschool.ng/classroom/literature-in-english/61684?exam_type=waec&exam_year=2021&type=obj&page=6
2021,6,28,objective,,,,The rhyme scheme of the first stanza is,aabcc,ababac,aabbc,abbac,C,https://myschool.ng/classroom/literature-in-english/61685?exam_type=waec&exam_year=2021&type=obj&page=6
2021,6,29,objective,,,,The dominant mood is one of,sadness,fear,joy,optimism,A,https://myschool.ng/classroom/literature-in-english/61686?exam_type=waec&exam_year=2021&type=obj&page=6
2021,6,30,objective,,,,We wear the mask that grins and lies illustrate,irony,personification,synecdoche,alliteration,B,https://myschool.ng/classroom/literature-in-english/61687?exam_type=waec&exam_year=2021&type=obj&page=6
2021,7,31,objective,,,,Speaker X is,Hermia,Philostrate,Demetrius,Lysander,C,https://myschool.ng/classroom/literature-in-english/61722?exam_type=waec&exam_year=2021&type=obj&page=7
2021,7,32,objective,,,,Speaker Y is,Titania,Pease blossom,Hippolyta,Helena,D,https://myschool.ng/classroom/literature-in-english/61723?exam_type=waec&exam_year=2021&type=obj&page=7
2021,7,33,objective,,,,Speaker X sees Speaker Y,as a pretender,as a past lover,for the first time,for the last time,B,https://myschool.ng/classroom/literature-in-english/61724?exam_type=waec&exam_year=2021&type=obj&page=7
2021,7,34,objective,,,,Both speakers are in the woods,to hide from each other,to spy on each other,for different reasons,for the same reason,C,https://myschool.ng/classroom/literature-in-english/61725?exam_type=waec&exam_year=2021&type=obj&page=7
2021,7,35,objective,,,,Night evolves in the speakers',huge responsibilities,contracting feelings,despairing thoughts,erotic feelings,B,https://myschool.ng/classroom/literature-in-english/61726?exam_type=waec&exam_year=2021&type=obj&page=7
2021,8,36,objective,,,,The speaker is A. Bottom B. PeaseblossomC.,Bottom,Peaseblossom,Quince,Puck,C,https://myschool.ng/classroom/literature-in-english/61727?exam_type=waec&exam_year=2021&type=obj&page=8
2021,8,37,objective,,,,The speaker is addressing,artists,painters,actors,writers,C,https://myschool.ng/classroom/literature-in-english/61728?exam_type=waec&exam_year=2021&type=obj&page=8
2021,8,38,objective,,,,They intend to rehearse the play,a Midsummer Night's Dream,Pyramus and Thisby,The tradegy of lovers,The Battle of Royal,B,https://myschool.ng/classroom/literature-in-english/61729?exam_type=waec&exam_year=2021&type=obj&page=8
2021,8,39,objective,,,,The rehearsal is in preparation for,Egeus' acceptance of Lysander,the dance of the faries,Theseus' wedding,Titania waking up from a dream,C,https://myschool.ng/classroom/literature-in-english/61735?exam_type=waec&exam_year=2021&type=obj&page=8
2021,8,40,objective,,,,The main actors will be,Snug and Snout,Philostrate and Starveling,Mustardseed,Quince and Bottom,D,https://myschool.ng/classroom/literature-in-english/61736?exam_type=waec&exam_year=2021&type=obj&page=8
2021,9,41,objective,,,,Speaker X is,Titania,Hippolyta,snout,Oberon,A,https://myschool.ng/classroom/literature-in-english/61737?exam_type=waec&exam_year=2021&type=obj&page=9
2021,9,42,objective,,,,Speaker X has just,escaped from the city,fallen into a world of dreams,woken up from an induced sleep,abandoned a loved one,C,https://myschool.ng/classroom/literature-in-english/61738?exam_type=waec&exam_year=2021&type=obj&page=9
2021,9,43,objective,,,,Speaker Y is,Quince,Lysander,Demetrius,Bottom,D,https://myschool.ng/classroom/literature-in-english/61739?exam_type=waec&exam_year=2021&type=obj&page=9
2021,9,44,objective,,,,Speaker Y is a member of,Theseus' retinue,Titania's retinue,the group of actors,the group of lovers,C,https://myschool.ng/classroom/literature-in-english/61740?exam_type=waec&exam_year=2021&type=obj&page=9
2021,9,45,theory,,,,Speaker X's speech can be described as a,satire,conceit,paradox,parody,D,https://myschool.ng/classroom/literature-in-english/61741?exam_type=waec&exam_year=2021&type=obj&page=9
2021,10,46,objective,,,,The speaker is,Flute,Quince,Bottom,Philostrate,B,https://myschool.ng/classroom/literature-in-english/61742?exam_type=waec&exam_year=2021&type=obj&page=10
2021,10,47,objective,,,,The speech is part of the,prologue,epilogue,exposition,lyric,A,https://myschool.ng/classroom/literature-in-english/61744?exam_type=waec&exam_year=2021&type=obj&page=10
2021,10,48,objective,,,,The speaker is involved in putting on,a scene,skit,an act,a play,D,https://myschool.ng/classroom/literature-in-english/61745?exam_type=waec&exam_year=2021&type=obj&page=10
2021,10,49,objective,,,,The occasion is,the celebration of the royal marriage,the king's decision to banish Hermia,Oberon's threat to punish Titania,Titania falling in love with Bottom,A,https://myschool.ng/classroom/literature-in-english/61746?exam_type=waec&exam_year=2021&type=obj&page=10
2021,10,50,objective,,,,The speech is A. romanticB. satiric c. comicD. tragic,romantic,satiric,comic,tragic,C,https://myschool.ng/classroom/literature-in-english/61748?exam_type=waec&exam_year=2021&type=obj&page=10
