Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2018,4,16,objective,,,,The reason for sending a proforma invoice to a potential customer is that it is?,an indication of the seller's willingness to grant credit,a polite way of telling the customer to return the goods,an invitation to the buyer to buy on hire purchase,a polite way of refusing to sell on credit,D,https://myschool.ng/classroom/commerce/48610?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,17,objective,,,,The insurance policy taken to cover dishonesty of account personnel of an organisation is?,employers laibility,fidelity guarantee,life endowment,marine insurance,B,https://myschool.ng/classroom/commerce/48611?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,18,objective,,,,which of the following documents is used when goods are being sent by a common carrier,delivery note,consignment note,advice note,credit note,A,https://myschool.ng/classroom/commerce/48613?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,19,objective,,,,A put option in the stock exchange is an option,to sell,not to sell,to buy,not to buy,A,https://myschool.ng/classroom/commerce/48614?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,20,objective,,,,The functions of money do not include,store of value,medium of exchange,double coincidence of wants,means of deferred payment,C,https://myschool.ng/classroom/commerce/48617?exam_type=waec&exam_year=2018&type=obj&page=4
2018,5,21,objective,,,,A document of title to goods written by the ship owner specifying that certain goods are being conveyed in the ship is the?,bill of sale,bill of sight,bill of entry,bill of lading,D,https://myschool.ng/classroom/commerce/48624?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,22,objective,,,,informative advertisig is aimed at?,giving advice on the use of a product,influencing customers to buy a product,giving gifts to attract customers,encouraging specific customers to buy a product,A,https://myschool.ng/classroom/commerce/48630?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,23,objective,,,,A cheap means of carrying bulky goods over long distance is by?,rail,road,air,pipeline,A,https://myschool.ng/classroom/commerce/48634?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,24,objective,,,,A contract terminated by the occurence of an event which makes performance impossible is discharged by?,breach,agreement,frustration,performance,C,https://myschool.ng/classroom/commerce/48637?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,25,objective,,,,An individual employed to act on behalf of another within a specified guideline is?,a jobber,an agent,a broker,a distributor,B,https://myschool.ng/classroom/commerce/48639?exam_type=waec&exam_year=2018&type=obj&page=5
2018,6,26,objective,,,,which of the following is not a component of the marketing mix,price,place,population,product,C,https://myschool.ng/classroom/commerce/48640?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,27,objective,,,,A method of buying in anticipation of price fluctuation in the commodity market is?,speculation,arbitrage,contango,hedging,A,https://myschool.ng/classroom/commerce/48642?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,28,objective,,,,A shipping document detailing the charges for carrying a particular cargo for a specified voyage is?,dock warrant,freight note,bill of lading,mate's receipt,B,https://myschool.ng/classroom/commerce/48646?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,29,objective,,,,commercial agents who are authorized to keep goods untill they are sold are?,factors,distributors,brokers,auctioneers,A,https://myschool.ng/classroom/commerce/48648?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,30,objective,,,,An advertisement method whose objective is to convince customers to buy a product is?,informative advertisement,persuasive advertising,competitive advertising,mass advertisement,B,https://myschool.ng/classroom/commerce/48654?exam_type=waec&exam_year=2018&type=obj&page=6
2018,7,31,objective,,,,A government legislation which ensures that quality goods and services are available to customers is?,hire purchase act,copyright act,price control act,standard organisation act,D,https://myschool.ng/classroom/commerce/48665?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,32,objective,,,,a bank draft is a cheque drawn by a bank on?,another bank,itself,creditors,customers' deposits,B,https://myschool.ng/classroom/commerce/48668?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,33,objective,,,,which of the following functions is not performed by the export promption council,prevention of importation of harmful goods,provision of credit facilities to exporters,provision of technical advice to exporters,creation of export free zones,B,https://myschool.ng/classroom/commerce/48673?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,34,objective,,,,Activities undertaken to creat awareness of a product by giving out samples or gifts is?,marketing mix,marketing concepts,window display,sales promotion,D,https://myschool.ng/classroom/commerce/48679?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,35,objective,,,,an advantage of privatizing a firm is that it?,becomes more efficient,sells goods at low prices,employs more workers,attracts more customers,A,https://myschool.ng/classroom/commerce/48682?exam_type=waec&exam_year=2018&type=obj&page=7
2018,8,36,objective,,,,a transfer of authority from a superior officer to his subordinate in an organisation is?,controlling,decentralization,delegation,directing,C,https://myschool.ng/classroom/commerce/48685?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,37,objective,,,,The provision of scholarship by a firm to needy students is part of its?,political responsibility,economic responsibility,social responsibility,legal responsibility,C,https://myschool.ng/classroom/commerce/48689?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,38,objective,,,,The provision of scholarship by a firm to needy students is part of its?,political responsibility,economic responsibility,social responsibility,legal reponsibility,C,https://myschool.ng/classroom/commerce/48692?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,39,objective,,,,How many countries form ECOWAS,17,16,15,14,C,https://myschool.ng/classroom/commerce/48695?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,40,objective,,,,which of the following is the modern means of communication,grape vine,email,whistles,town crier,B,https://myschool.ng/classroom/commerce/48696?exam_type=waec&exam_year=2018&type=obj&page=8
2018,9,41,objective,,,,A company is qouted on the stock exchange when its shares are?,put under private payment,not for sale to the public,listed for sale on the exchange,owned by the government,C,https://myschool.ng/classroom/commerce/48700?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,42,objective,,,,A system of issueing new shares to selected investors instead of the general public is?,public offer,issue by tender,offer for sale,private placement,D,https://myschool.ng/classroom/commerce/48704?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,43,objective,,,,one of the aims of the European union is to?,ease trade among member countries,enhance better trade with Africa,enhance free trade with America,offer financial assistance to poor countries,A,https://myschool.ng/classroom/commerce/48707?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,44,objective,,,,the time allowed for loading and unloading a ship at the harbour is?,demurrage,tenure,lay days,dead freight,C,https://myschool.ng/classroom/commerce/48709?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,45,objective,,,,The inter bank indebtedness is settled at the,clearing house,money market,discount house,stock exchange,A,https://myschool.ng/classroom/commerce/48711?exam_type=waec&exam_year=2018&type=obj&page=9
2018,10,46,objective,,,,The concern of a marketing manager whose company has adopted the marketing mix concept is to?,recruit more,make maximum profit,identify and satisfy customers needs,maintain the company's share of the market,C,https://myschool.ng/classroom/commerce/48713?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,47,objective,,,,The purpose of commercialization is to?,encourage the participation of the private sector,make state-owned firms more efficient,encourage the flow of foreign capital,enable state-owned firms pay tax,B,https://myschool.ng/classroom/commerce/48715?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,48,objective,,,,Which of the following is a legal tender?,Cheque,Travellers cheque,Bank note,Goldsmith receipt,C,https://myschool.ng/classroom/commerce/49982?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,49,objective,,,,Labour as an input in production can be motivated by,training,profit,remuneration,promotion,C,https://myschool.ng/classroom/commerce/49983?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,50,objective,,,,The minimum lending rate of a bank is a component of its,current assets,debit balances,credit balance,fixed assets,A,https://myschool.ng/classroom/commerce/49985?exam_type=waec&exam_year=2018&type=obj&page=10
