Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2015,9,44,objective,,,,Before Ariel's entry,Ferdinand has brought in some wood,Prospero had put Miranda to sleep,Caliban had been sweaing at prospero,Trinculo had discovered Caliban's cloak,B,https://myschool.ng/classroom/literature-in-english/45727?exam_type=waec&exam_year=2015&type=obj&page=9
2015,9,45,objective,,,,'Ariel and all his quality' means Ariel and,all at his command,the quality of a spirit,his band of spirit,an ability to cause mischief,C,https://myschool.ng/classroom/literature-in-english/45728?exam_type=waec&exam_year=2015&type=obj&page=9
2015,10,46,objective,,,,"Soon after, Ariel",flies off to do his duty,recounts the confusion on board the ship,kneels down to worship Prospero,calls Ceres and another spirit,A,https://myschool.ng/classroom/literature-in-english/45729?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,47,objective,,,,''we two'' are,Antonio and Adrian,Sebastian and Adrian,Sebastian and Franciso,Antonio and Sebastian,D,https://myschool.ng/classroom/literature-in-english/45730?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,48,objective,,,,X and Y are,Antonio and Alonso,Sebastian and Alonso,Antonio and Gonzalo,Sebastian and Gonzalo,A,https://myschool.ng/classroom/literature-in-english/45731?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,49,objective,,,,X and Y are,Antonio and Alonso,Sebastian and Alonso,Antonio and Gonzalo,Sebastian and Gonzalo,A,https://myschool.ng/classroom/literature-in-english/45732?exam_type=waec&exam_year=2015&type=obj&page=10
2015,10,50,objective,,,,The situation in the extract is highly,satirical,prophetic,ironical,comical,C,https://myschool.ng/classroom/literature-in-english/45733?exam_type=waec&exam_year=2015&type=obj&page=10
2015,11,51,objective,,,,What has happened to all the other characters in the scene?,They have been made deaf and dumb,Ariel has put them all to sleep,They have been sent away,Prospero has put them to sleep,B,https://myschool.ng/classroom/literature-in-english/45734?exam_type=waec&exam_year=2015&type=obj&page=11
2015,11,52,objective,,,,The ''two'' later plot to_______,kill all the other characters,escape from the island,kill Prospero and Miranda,kill Alonso and Gonzalo,A,https://myschool.ng/classroom/literature-in-english/45735?exam_type=waec&exam_year=2015&type=obj&page=11
2016,1,1,objective,,,,...... refers to the structure of a work of art.,form,Plot,Setting,Style,B,https://myschool.ng/classroom/literature-in-english/45101?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,2,objective,,,,Conflict in a literary work begins to unfold with,climax,episode,exposition,resolution,A,https://myschool.ng/classroom/literature-in-english/45102?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,3,objective,,,,The character assumed by the author in his writing is,protagonist,chorus,persona,pseudonym,C,https://myschool.ng/classroom/literature-in-english/45104?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,4,objective,,,,Oral literature is part of,drama,folklore,poetry,music,B,https://myschool.ng/classroom/literature-in-english/45105?exam_type=waec&exam_year=2016&type=obj&page=1
2016,1,5,objective,,,,Poetry is written in,chapters,paragraphs,scenes,lines,D,https://myschool.ng/classroom/literature-in-english/45106?exam_type=waec&exam_year=2016&type=obj&page=1
2016,2,6,objective,,,,Poetry is written in,chapters,lines,paragraphs,scenes,B,https://myschool.ng/classroom/literature-in-english/45107?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,7,objective,,,,The ....... produces comic relief in drama,chorus,protagonist,antagonist,clown,D,https://myschool.ng/classroom/literature-in-english/45108?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,8,objective,,,,A short play is also called a,farce,novelette,playlet,slapstick,C,https://myschool.ng/classroom/literature-in-english/45109?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,9,objective,,,,The rhyme scheme is,abab,aaba,abcc,abbc,A,https://myschool.ng/classroom/literature-in-english/45110?exam_type=waec&exam_year=2016&type=obj&page=2
2016,2,10,objective,,,,The lines are iambic,pentameter,trimeter,tetrameter,hexameter,C,https://myschool.ng/classroom/literature-in-english/45111?exam_type=waec&exam_year=2016&type=obj&page=2
2016,3,11,objective,,,,The lines constitute,an epic,a quatrain,an ode,a sestet,B,https://myschool.ng/classroom/literature-in-english/45112?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,objective,,,,''The sun smiled gently on the scene'' illustrates,paradox,euphemism,hyperbole,personification,D,https://myschool.ng/classroom/literature-in-english/45113?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,objective,,,,The major part of the Petrarch sonnet is the,quintet,sestet,tercet,octave,D,https://myschool.ng/classroom/literature-in-english/45114?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,objective,,,,"A Poem that celebrates an object, person or event is",a sonnet,a dirge,an ode,a balled,C,https://myschool.ng/classroom/literature-in-english/45115?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,objective,,,,''That it will rain is not unlike'' illustrates the use of,irony,lilotes,metaphor,metonymy,B,https://myschool.ng/classroom/literature-in-english/45116?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,biblical-reference,,,,An...... is an indirect and usually unfavourable remark,allusion,irony,aside,innuendo,D,https://myschool.ng/classroom/literature-in-english/45117?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,objective,,,,'Many hands make light work' illustrates the use of,zeugma,hyperbole,metonymy,synecdoche,D,https://myschool.ng/classroom/literature-in-english/45118?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,objective,,,,Through ........ the ills of society are criticised with the objective of having them corrected,dramatic irony,comic relief,satire,farce,C,https://myschool.ng/classroom/literature-in-english/45119?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,passage-based,,,,Read the following lines to answer this question The livid waters roared and snarled and flapped At the poor battered and weeping yacht. The dominant device used in the lines is,simile,alliteration,assonance,personification,D,https://myschool.ng/classroom/literature-in-english/45120?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,passage-based,,,,Read the following lines to answer this question The livid waters roared and snarled and flapped At the poor battered and weeping yacht. The picture presented is one of,quiet sea,dark sky,stormy weather,calm season,C,https://myschool.ng/classroom/literature-in-english/45121?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,objective,,,,The attitude of the writer towards the President is one of,contempt,disdain,disinterest,approval,C,https://myschool.ng/classroom/literature-in-english/45122?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,objective,,,,The prevailing atmosphere is,tense,sad,cordial,warm,A,https://myschool.ng/classroom/literature-in-english/45123?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,objective,,,,The expression ''plastered on each of their face like a death mask'' illustrates.,alliteration and metaphor,simile and personification,personification and alliteration,metaphor and simile,D,https://myschool.ng/classroom/literature-in-english/45124?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,objective,,,,''......... screaming anger'' is an example of,allusion,personjfication,simile,"euphei,,,,,ism",B,https://myschool.ng/classroom/literature-in-english/45125?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,objective,,,,The last paragraph illustrates,foreshadow,pathos,bathos,climax,D,https://myschool.ng/classroom/literature-in-english/45126?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,objective,,,,The theme of the poem is,indecision,separation,rejected love,requited love,D,https://myschool.ng/classroom/literature-in-english/45127?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,objective,,,,The speaker is,decisive,frustrated,disappointed,angry,A,https://myschool.ng/classroom/literature-in-english/45128?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,objective,,,,The dominant literary device used in the poem is,paradox,parody,metaphor,oxymoron,C,https://myschool.ng/classroom/literature-in-english/45129?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,objective,,,,The mood of the poem is,jubilant,sad,gloomy,romantic,D,https://myschool.ng/classroom/literature-in-english/45130?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,30,theory,,,,The poem can be described as,an epitaph,a lyric,a lullaby,an elegy,B,https://myschool.ng/classroom/literature-in-english/45131?exam_type=waec&exam_year=2016&type=obj&page=6
2016,7,31,objective,,,,The speaker is,Othello,Duke,Brabantio,lago,C,https://myschool.ng/classroom/literature-in-english/45132?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,32,objective,,,,The speaker is addressing,Cassio,Brabantio,Roderigo,Othello,D,https://myschool.ng/classroom/literature-in-english/45133?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,33,objective,,,,''Sooty bosom'' is a metaphor for,a black coat,Othello,a breastplate,lago,B,https://myschool.ng/classroom/literature-in-english/45134?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,34,objective,,,,''Run from her guardege'' refers to,Emilia,Desdemona,Bianca,Cassio's mistress,B,https://myschool.ng/classroom/literature-in-english/45135?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,35,objective,,,,The setting is,another street outside the Sagittary,a council chamber,a seaport in Cyprus,the citadel,B,https://myschool.ng/classroom/literature-in-english/45136?exam_type=waec&exam_year=2016&type=obj&page=7
2016,8,36,objective,,,,The speaker is,Brabantio,Cassio,Gratiano,lago,D,https://myschool.ng/classroom/literature-in-english/45137?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,37,objective,,,,The addressee is,Othello,Duke,Roderigo,Montano,C,https://myschool.ng/classroom/literature-in-english/45138?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,38,objective,,,,What has happened to the speaker?,He has been fined,He has fallen out of favour,He has been denied promotion,He has lost his job,C,https://myschool.ng/classroom/literature-in-english/45139?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,39,objective,,,,The underlined expression shows that the speaker is,jovial,insincere,polite,unfriendly,B,https://myschool.ng/classroom/literature-in-english/45140?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,40,objective,,,,The setting is,a street in Venice,a street in Cyprus,outside the citadel,a court before the citadel,B,https://myschool.ng/classroom/literature-in-english/45141?exam_type=waec&exam_year=2016&type=obj&page=8
2016,9,41,objective,,,,The speaker is addressing,Cassio,Duke,herself,himself,D,https://myschool.ng/classroom/literature-in-english/45142?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,42,objective,,,,The speaker is,Othello,lago,Lodovico,Bianca,B,https://myschool.ng/classroom/literature-in-english/45143?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,43,objective,,,,"Just before this speech,",Othello falls into a trance,Bianca flings a handkerchief at Cassio,Montano fights with Cassio,Roderigo is killed,A,https://myschool.ng/classroom/literature-in-english/45144?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,44,objective,,,,''medicine'' in the extract refers to the speaker's,hatred,passion,lies,loyalty,C,https://myschool.ng/classroom/literature-in-english/45145?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,45,objective,,,,The character that enters immediately after is,lago,Emilia,Othello,Cassio,A,https://myschool.ng/classroom/literature-in-english/45146?exam_type=waec&exam_year=2016&type=obj&page=9
2016,10,46,objective,,,,The speaker is,Bianca,Emilia,Clown,Desdemona,B,https://myschool.ng/classroom/literature-in-english/45148?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,47,objective,,,,The characters that just left the scene are,Othello and lago,Montano and Cassio,Othello and Desdemona,Grantiano and Desdemona,A,https://myschool.ng/classroom/literature-in-english/45149?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,48,objective,,,,'She' in the extract refers to,Bianca,Desdemona,Emilia,Musician,B,https://myschool.ng/classroom/literature-in-english/45150?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,49,objective,,,,'My wayward husband' refers to,Othello,lago,Cassio,Roderigo,B,https://myschool.ng/classroom/literature-in-english/45151?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,50,objective,,,,In the extract ''this napkin'' is ''the token'' of love between,lago and Emilia,Cassio and Desdemona,Bianca and Cassio,Desdemona and Othello,D,https://myschool.ng/classroom/literature-in-english/45152?exam_type=waec&exam_year=2016&type=obj&page=10
2017,1,1,objective,,,,A praise poem is ____________,A Ballad,A Panegyric,An Allegory,An Epigram,B,https://myschool.ng/classroom/literature-in-english/49742?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,2,objective,,,,A literary work in which the characters are animals is a ____________,Lampoon,Fable,Parody,Pantomine,B,https://myschool.ng/classroom/literature-in-english/49745?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,3,objective,,,,A short single act drama is called____________,Opera,Allusion,Farce,Playlet,D,https://myschool.ng/classroom/literature-in-english/49747?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,4,objective,,,,"*Through the trees, I'll hear asingle* *Ringing sound, a cowbelljingle* The underlined is an example of____________ryhme",End,Feminine,Internal,Masculine,A,https://myschool.ng/classroom/literature-in-english/49751?exam_type=waec&exam_year=2017&type=obj&page=1
2017,1,5,passage-based,,"**Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings**",,"*Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings* The alliteration in stinks and stings effectively conveys__________-",Distaste,Admiration,Indifference,Approval,A,https://myschool.ng/classroom/literature-in-english/49754?exam_type=waec&exam_year=2017&type=obj&page=1
2017,2,6,passage-based,,"**Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings**",,"*Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings* The poets intention is to___________",Create Humor,Arouse sympathy,Create fun,Show Contempt,D,https://myschool.ng/classroom/literature-in-english/49755?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,7,passage-based,,"**Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings**",,"*Yet, let me flap this bug with gilded wings,This painted child of dirt, that stinks and stings* The lines illustrates________",Blank Verse,End ryhme,Internal rhyme,Free Verse,D,https://myschool.ng/classroom/literature-in-english/49756?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,8,objective,,,,A play on words for literary effect is_________,A Paradox,A Pun,A Satire,An Elegy,B,https://myschool.ng/classroom/literature-in-english/49758?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,9,objective,,,,"""Its a matter of sad joy"" Iillustrates__________",Metonymy,Oxymoron,Euphemism,Irony,B,https://myschool.ng/classroom/literature-in-english/49759?exam_type=waec&exam_year=2017&type=obj&page=2
2017,2,10,objective,,,,The leading character in a literary work is the________,Foil,Villain,Antagonist,Protagonist,D,https://myschool.ng/classroom/literature-in-english/49760?exam_type=waec&exam_year=2017&type=obj&page=2
2017,3,11,objective,,,,A narrative poem that relates heroic exploits is an___________,Epilogue,Epitaph,Epic,Epigram,C,https://myschool.ng/classroom/literature-in-english/49825?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,12,objective,,,,Over the cobbles it clattered and crashed is an example of__________,Oxymoron,Pun,Onomatopoeia,Paradox,C,https://myschool.ng/classroom/literature-in-english/49828?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,13,objective,,,,An essential features of drama is___________,Soliloquy,Conflict,Irony,Aside,B,https://myschool.ng/classroom/literature-in-english/49830?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,14,objective,,,,"A humorous poem with five lines, the first two ryhming with the last is______________",An ode,Sestet,Octave,A Limerick,D,https://myschool.ng/classroom/literature-in-english/49833?exam_type=waec&exam_year=2017&type=obj&page=3
2017,3,15,passage-based,,,,"Death be not proud, though some have called thee might and dreadful is an example of___________",Euphemism,Metaphor,Apostrophe,Aliteration,C,https://myschool.ng/classroom/literature-in-english/49837?exam_type=waec&exam_year=2017&type=obj&page=3
2017,4,16,objective,,,,An essential part of the plot is____________,Characterization,Exposition,Atmosphere,Foreshadow,A,https://myschool.ng/classroom/literature-in-english/49839?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,17,objective,,,,The climax in a literary work is the_____________,Middle,Beginning,Central part of the dialogue,Peak of the conflict,D,https://myschool.ng/classroom/literature-in-english/49841?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,18,objective,,,,**Dramatis** **personae** is the same as ____________,Chorus,Prompter,Foil,Cast,D,https://myschool.ng/classroom/literature-in-english/49846?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,19,objective,,,,Ten thousand saw i at glance....... Illustrates_________,Caesura,Climax,Bathos,Hyperbole,D,https://myschool.ng/classroom/literature-in-english/49848?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,20,objective,,,,Catharsis is normally associated with____________,Pantomime,Tragedy,Comedy,Farce,B,https://myschool.ng/classroom/literature-in-english/49850?exam_type=waec&exam_year=2017&type=obj&page=4
2017,5,21,passage-based,,,,The dominant feeling in the passage is that of______________,Hostility,Anger,Anxiety,Bitterness,C,https://myschool.ng/classroom/literature-in-english/49858?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,22,objective,,,,The feeling is conveyed by the use of_________,Long sentences,Visual images,Tactile images,Short sentences,C,https://myschool.ng/classroom/literature-in-english/49862?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,23,objective,,,,Their silence spoke millions illustrates___________,Oxymoron,Litotes,Tactile images,Short sentences,C,https://myschool.ng/classroom/literature-in-english/49865?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,24,objective,,,,The family bell summoned us is an example of__________,Apostrophe,Personification,Allusion,Euphemism,B,https://myschool.ng/classroom/literature-in-english/49867?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,25,passage-based,,,,The passage is__________,In First person,In Third Person,A Dialogue,Monologue,A,https://myschool.ng/classroom/literature-in-english/49868?exam_type=waec&exam_year=2017&type=obj&page=5
2017,6,26,objective,,,,The first stanza is a ____________,Tercet,Couplet,Quatrain,Sestet,A,https://myschool.ng/classroom/literature-in-english/49873?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,27,objective,,,,The poem evokes the senses of_______,Smell and Sight,Smell and Hearing,Sight and Hearing,Touch and Smell,C,https://myschool.ng/classroom/literature-in-english/49878?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,28,objective,,,,The dominant literary device used in the poem is_____________,Allusion,Repetition,Allegory,Metonymy,B,https://myschool.ng/classroom/literature-in-english/49879?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,29,objective,,,,The poet's tone is one of__________,Anxiety,Defiance,Nostalgia,Regret,C,https://myschool.ng/classroom/literature-in-english/49881?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,30,objective,,,,My ears will drink by eager of choice illustrates________,Oxymoron,Onomatopoeia,Synecdoche,Meiosis,C,https://myschool.ng/classroom/literature-in-english/49883?exam_type=waec&exam_year=2017&type=obj&page=6
2017,7,31,objective,,,,The speaker is_____________,Duke,Othello,Brabantio,Cassio,A,https://myschool.ng/classroom/literature-in-english/50039?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,32,objective,,,,The tale being referred to is___________,Duke's war exploits,Brabantio's rejection of the Othello and Desdemona relationship,Othello's war exploits,Brabantio's rejection of Othello's love for his daughter,C,https://myschool.ng/classroom/literature-in-english/50040?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,33,objective,,,,........this tale justifies_________,Roderigo's unrequited love for Desdemona,Cassio's promotion above Iago,Desdemona's attraction to Othello,Brabantio's rejection of Othello's love for his daughter,C,https://myschool.ng/classroom/literature-in-english/50042?exam_type=waec&exam_year=2017&type=obj&page=7
