Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,3,15,microeconomics,,,,A price floor results in,excess demand,excess supply,parallel market,hoarding of goods,B,https://myschool.ng/classroom/economics/45428?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,general,,,,An entrepreneur is encouraged to adopt division of labour in production because it,provide more employment opportuinities,leads to increased output and lower cost of production,brings about equal cost and employment opportuinities,leads to increased cost of production and lower output,B,https://myschool.ng/classroom/economics/45429?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,general,,,,The long run is a period when,only the variable factors can be altered,all factors become variable,the firm will cease to exist,only the fixed factors can be altered,B,https://myschool.ng/classroom/economics/45430?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,public-finance,,,,The necessary condition for a firm to be in equilibrium is that marginal revenue is,greater than marginal,equal to marginal,less than average revenue,equal to average,B,https://myschool.ng/classroom/economics/45431?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,microeconomics,,,,At which stage of production should a firm shut down? when,AVC=ATC,AVC,AVC>price,AVC=MC,C,https://myschool.ng/classroom/economics/45432?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,microeconomics,,,,Charging different prices for the same commodity is a feature of a,perfect competition,commodity market,monopolistic competition,monopoly market,A,https://myschool.ng/classroom/economics/45433?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,general,,,,"In a partnership, the conduct of members is guided by",a memorandum of understanding,the article of partnership,an article of association,a partnership constitution,B,https://myschool.ng/classroom/economics/45434?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,general,,,,Indigenization policy is a measure aimed at,privating the existing business owned by the state,commercializing state owned businesses,reducing foreign economic domination,making the indegenes managing directors of businesses,C,https://myschool.ng/classroom/economics/45435?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,general,,,,Which of the following measures will hinder efficient distribution of goods in West Africa,Improving roads networks,provision of adequate storage facilities,instituting price control,formation of producers' co-operative societies,C,https://myschool.ng/classroom/economics/45436?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,macroeconomics,,,,The type of unemployment that occurs as a result physical or mental disability of labour is known as,frictional unemployment,structural unemployment,cyclical unemployment,residual unemployment,D,https://myschool.ng/classroom/economics/45437?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,microeconomics,,,,One relationship between marginal utility and total utility. When total is,"rising, marginal utility is rising","falling, marginal utility is negative","maximum, marginal utility is maximum","falling, marginal utility is rising",B,https://myschool.ng/classroom/economics/45447?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,general,,,,One feature of a growing population,increase in the number of young people,increase in the number of old people,decrease in the dependent population,decrease in the life expectancy,A,https://myschool.ng/classroom/economics/45448?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,calculation,,,,Efficiency of labour in a country is determined by the following factor except the,social attitude to work,education and training,working conditions of workers,total polulation,D,https://myschool.ng/classroom/economics/45451?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,general,,,,Which of the following will encourage capital intensive farming,encouraging communal system of land ownership,adopting policies that will encourage rural-urban migration,provision of subsidies on equipment,Restrictive lending policies by banks,C,https://myschool.ng/classroom/economics/45453?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,theory,,,,Which of the following best explains why more foreign investments are not attracted to West Africa,Small population size,small sizes of market places,instability in political and industrial policies,lack of manpower needed to work in industries,C,https://myschool.ng/classroom/economics/45454?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,30,development-economics,,,,Location of firm in rural areas may,enable the firm to enjoy existing infrastructural facilities,make finance readily avalaible,enhance even or balanced development,make such firm enjoy external economics of scale,C,https://myschool.ng/classroom/economics/45459?exam_type=waec&exam_year=2016&type=obj&page=6
2016,7,31,macroeconomics,,,,"International income accounting, double counting occurs when",intermediate goods are counted twice,intermediate goods are counted with the final goods,final goods are counted more than twice,different people count the products,B,https://myschool.ng/classroom/economics/45460?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,32,macroeconomics,,,,The difference between GDP and GNP,consumption of fixed capital,indirect business tax,net factor income from abroad,public transfer payment,C,https://myschool.ng/classroom/economics/45464?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,33,macroeconomics,,,,The difference between GDP and GNP,consumption of fixed capital,indirect business tax,net factor income from abroad,public transfer payment,C,https://myschool.ng/classroom/economics/45465?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,34,macroeconomics,,,,Which of the following items is not included in the measurement of the national income using the income approach,wages and salary,government purchases,interest,divedend,B,https://myschool.ng/classroom/economics/45469?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,35,general,,,,A bank note is said to be a legal tender because it is,printed by government,a store of value,signed by the head of state,backed by law,D,https://myschool.ng/classroom/economics/45470?exam_type=waec&exam_year=2016&type=obj&page=7
2016,8,36,macroeconomics,,,,"During Inflation, interest rate will",rise,flunctuate,remain constant,fall,D,https://myschool.ng/classroom/economics/45473?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,37,macroeconomics,,,,Cost push inflation is likely to arise when,there is an increase in banking lending,there is an increase in subsidies,stock exchange,rise in the cost of production.,D,https://myschool.ng/classroom/economics/45475?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,38,microeconomics,,,,Which of the following financial institutions cannot be found on the capital market of a country,commercial bank,mortgage bank,stock exchange,Agricultural bank,D,https://myschool.ng/classroom/economics/45477?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,39,microeconomics,,,,The stock market is a market for,new and second hand shares,debentures,goods and services,short terms securities,A,https://myschool.ng/classroom/economics/45479?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,40,public-finance,,,,Indirect taxes are generally,progressive,regressive,equitable,proportionate,B,https://myschool.ng/classroom/economics/45481?exam_type=waec&exam_year=2016&type=obj&page=8
2016,9,41,public-finance,,,,Fiscal policy that can control inflation will include the use of,balanced budgeting,tax holidays,budget deficit,budget surplus,D,https://myschool.ng/classroom/economics/45485?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,42,general,,,,Which is following is a cause of under-development in West Africa,Availability of manpower,increasing population,high rate of capital formation,large size of market places,B,https://myschool.ng/classroom/economics/45490?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,43,general,,,,Which of the following is not a major problem of development,shortage of skilled manpower,inadequate data for planning,political instability,poor identification of projects,D,https://myschool.ng/classroom/economics/45495?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,44,microeconomics,,,,The principle of comparative cost advantage was propounded by,David Ricardo,Alfred Marshal,J. S Mill,Adam Smith,A,https://myschool.ng/classroom/economics/45500?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,45,international-trade,,,,The rate at which a country's export is exchanged for her imports is,trade balance,balance of payment,term of trade,balance on current account,C,https://myschool.ng/classroom/economics/45505?exam_type=waec&exam_year=2016&type=obj&page=9
2016,10,46,international-trade,,,,Balance of payment surplus implies that receipts for exports are,at par with payments for imports,greater than payment for imports,less than payment for imports,proportional to payments for imports,B,https://myschool.ng/classroom/economics/45508?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,47,general,,,,"When the international value of a country's currency rises, other things being equal, the country's",net exports tend to increase,imports tend to increase,net exports tend to decrease,export tend to be stable,A,https://myschool.ng/classroom/economics/45511?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,48,international-trade,,,,One of the physical measures that can be used to reduce the volume of imports is the,reduction of personnel income tax,removal of imports duties,use of foreign exchange control,liberalization of credit for importers,C,https://myschool.ng/classroom/economics/45515?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,49,international-trade,,,,"When a number of countries agree to remove all trade barriers among themselves and at the same time charge a common tariff against non member countries, it known as",free trade area,common market,custom union,economic community,C,https://myschool.ng/classroom/economics/45517?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,50,international-trade,,,,Which of the following international organizations is concerned with the stabilization of the balance of payments? the,International Monetary Fund (IMF),World Bank (IBRD),United Nations Organization (UNO),Economic Commission for Africa (ECA),A,https://myschool.ng/classroom/economics/45521?exam_type=waec&exam_year=2016&type=obj&page=10
