Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,4,18,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Vinegar is an aqueous solution of?,Hydrochloric acid,ethanedioc acid,ethanoic acid,hydrofluoric acid,C,https://myschool.ng/classroom/chemistry/58050?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,19,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,which of the following solutions containing one mole per dm\(^3\) of the compound would have the lowest PH?,ethanoic acid,hydrochloric acid,sodium chloride,sodium hydrogentrioxocarbonate(iv),B,https://myschool.ng/classroom/chemistry/58093?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,20,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,A sample of air was bubbled into water. The PH of the water slowly changed from 7 to 6. Which of the following gases in the samples caused the change?,carbon(iv)oxide,carbon(ii)oxide,nitrogen,oxygen,A,https://myschool.ng/classroom/chemistry/58113?exam_type=waec&exam_year=2019&type=obj&page=4
2019,5,21,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,The most suitable indicator for the reaction between NaOH and HCOOH is?,bromocresol,methyl orange,methyl red,phenolphthalein,D,https://myschool.ng/classroom/chemistry/58117?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,22,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,consider the following reaction equation: 2Al(OH)\(_3\) + 3H\(_2\)SO\(_4\) **→** Al\(_2\)(SO4)\(_3\)(aq)+6H\(_2\)O. How many moles of tetraoxosulphate(vi)acid is needed to produce 0.5mol of aluminium tetraoxosulphate(vi)?,0.5,1.0,1.5,3.0,C,https://myschool.ng/classroom/chemistry/58126?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,23,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,which of the following pairs of substances has the highest heat of neutralization?,strong acid and strong base,weak acid and weak base,strong acid and weak base,weak acid and strong base,A,https://myschool.ng/classroom/chemistry/58131?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,24,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,When quicklime dissolves in water?,heat is absorbed,heat is evolved,oxygen is liberated,hydrogen is given off,B,https://myschool.ng/classroom/chemistry/58135?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,25,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,"If the value of ΔH is positive for a reaction, it means that the reaction is?",exothermic,endothermic,spontaneous,slow,B,https://myschool.ng/classroom/chemistry/58160?exam_type=waec&exam_year=2019&type=obj&page=5
2019,6,26,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Which of the following compounds is formed by the oxidation of ethanol?,C\(_2\)H\(_4\)CO\(_2\)H,C\(_2\)H\(_5\)CO\(_2\)H,CH\(_3\)OH,CH\(_3\)CO\(_2\)H,D,https://myschool.ng/classroom/chemistry/58161?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,27,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,What is the characteristic of the gas liberated when dilute hydrochloric acid is added to Iron(ii)sulphide?,turns lime water milky,decolorizes bromine water,gives a pop sound,turns lead(ii)ethanoate paper black,D,https://myschool.ng/classroom/chemistry/58162?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,28,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,"An organic compound contains 72% carbon, 12% hydrogen and 16% oxygen by mass. What is the empirical formula of the compound? [ H = 1.0. C = 12.0, O = 16.0 ]",C\(_3\)H\(_8\)O,C\(_6\)H\(_{12}\)O,C\(_6\)H\(_{12}\)O\(_2\),C\(_{12}\)H\(_{12}\)O\(_{11}\),B,https://myschool.ng/classroom/chemistry/58163?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,29,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,"When excess chlorine is mixed with ethane at room temperature, the product formed is?","1,2-dichloroethane","1,2-dichloroethene","1,1-dichloroethane","1,1-dichloroethene",A,https://myschool.ng/classroom/chemistry/58165?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,30,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,which of the following reagents could be used to distinguish between propan-1-ol and propan-2-ol,H+ / K2Cr2O7,I\(_2\) / OH-,CH\(_3\)COOH,NaCl,A,https://myschool.ng/classroom/chemistry/58170?exam_type=waec&exam_year=2019&type=obj&page=6
2019,7,31,plant-chemistry,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,"If a catalyst is added to a system, the temperature and the pressure remain constant, there would be no effect on the?",activation energy of the reaction,rate of the reaction,rate of the reverse reaction,heat of reaction,D,https://myschool.ng/classroom/chemistry/58171?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,32,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,consider the following reaction equation: 2NH\(_3 \) .+ 3Cl\(_2\) → N2 + 6HCl. NH\(_3\) is acting as?,a reducing agent,a dehydrating agent,a drying agent,an oxidizing agent,A,https://myschool.ng/classroom/chemistry/58172?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,33,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The oxidation of chromium in Cr\(_2\)O\(_7)\(-2\) ?,+4,+5,+6,+7,C,https://myschool.ng/classroom/chemistry/58174?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,34,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The process by which alkanoic acid reacts reversibly with alkanols is known as?,saponification,esterification,carboxylation,halogenation,B,https://myschool.ng/classroom/chemistry/58176?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,35,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,"If the oxidation potential of Mg and Al are +2.37 volts and + 1.66 volts respectively, then the Mg would?",not replace Al,be replaced by Al,remain in the solution,replace Al,D,https://myschool.ng/classroom/chemistry/58177?exam_type=waec&exam_year=2019&type=obj&page=7
2019,8,36,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,consider the reaction represented by the following equation: 2SO\(_2\) + O\(_2\) **⇌ 2SO\(_3\)** A decrease in the pressure of the reaction would,decrease in the concentration of SO\(_2\),have no effect on the reaction,shift the equilibrium position to the left,shift the equilibrium position to the right,C,https://myschool.ng/classroom/chemistry/58181?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,37,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,"In a mixture of gases which do not react chemically together, the pressure of the individual gas is?",atmospheric pressure,vapor pressure,total pressure,partial pressure,D,https://myschool.ng/classroom/chemistry/58186?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,38,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Biotechnology is applied in the?,treatment of sewage,treatment of water,purification of chemicals,purification of metals,A,https://myschool.ng/classroom/chemistry/58190?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,39,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,which of the following organic compounds has the lowest boiling point?,C\(_6\)H\(_14\),C\(_5\)H\(_12\),C\(_4\)H\(_10\),( CH\(_3\) )\(_3\),D,https://myschool.ng/classroom/chemistry/58427?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,40,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Consider the following reaction represented by the following equation: C\(_2\)H\(_2\) \(^{H_2}_{→}\) X \(^{H_2}_{→}\) Y. X and Y respectively are?,ethane and ethene,ethene and ethane,ethyne and ethene,ethane and ethyne,B,https://myschool.ng/classroom/chemistry/58435?exam_type=waec&exam_year=2019&type=obj&page=8
2019,9,41,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the following substances can be classified as heavy chemicals?,CaOCl\(_2\),H\(_2\)SO\(_4\),AgNO\(_3\),CaO,B,https://myschool.ng/classroom/chemistry/58441?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,42,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,in Boyle's law?,"T is constant, P varies directly with V","P is constant, V varies inversely with T","V is constant, P varies directly with T","T is constant, V varies inversely with P",D,https://myschool.ng/classroom/chemistry/58486?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,43,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the following apparatus is **NOT** used in volumetric analysis?,Pipette,Burette,Desiccator,conical flask,C,https://myschool.ng/classroom/chemistry/58491?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,44,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,One of the deductions from Rutherford's alpha particle scattering experiment is that?,electrons are negatively charged,electrons have a negligible mass,nuclei of atoms are positively charged,protons are positively charged,C,https://myschool.ng/classroom/chemistry/58501?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,45,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,The atoms of \(^{64}_{29}\)Cu and \(^{65}_{30}\)Zn have the same number of?,nucleon,electrons,neutrons,protons,C,https://myschool.ng/classroom/chemistry/58503?exam_type=waec&exam_year=2019&type=obj&page=9
