Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2016,3,11,word-problem,,,,"Given that 2x + y = 7 and 3x - 2y = 3, by how much is 7x greater than 10?",1,3,7,17,C,https://myschool.ng/classroom/mathematics/46103?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,12,algebra,,,,Simplify; \(\frac{2}{1 - x} - \frac{1}{x}\),\(\frac{x + 1}{x(1 - x)}\),\(\frac{3x - 1}{ x(1 - x)}\),\(\frac{3x + 1}{ x(1 - x)}\),\(\frac{x - 1}{ x(1 - x)}\),B,https://myschool.ng/classroom/mathematics/46106?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,13,general,,,,Make s the subject of the relation: P = S + \(\frac{sm^2}{nr}\),s = \(\frac{mrp}{nr + m^2}\),s = \(\frac{nr + m^2}{mrp}\),s = \(\frac{nrp}{mr + m^2}\),s = \(\frac{nrp}{nr + m^2}\),D,https://myschool.ng/classroom/mathematics/46107?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,14,algebra,,,,Factorize; (2x + 3y) 2 - (x - 4y) 2,(3x - y)(x + 7y),(3x + y)(2x - 7y),(3x + y)(x - 7y),(3x - y)(2x + 7y),A,https://myschool.ng/classroom/mathematics/46109?exam_type=waec&exam_year=2016&type=obj&page=3
2016,3,15,geometry,,,,"The curve surface area of a cylinder, 5cm high is 110cm 2 . Find the radius of its base. [Take \(\pi = \frac{22}{7}\)]",2.6cm,3.5cm,3.6cm,7.0cm,B,https://myschool.ng/classroom/mathematics/46112?exam_type=waec&exam_year=2016&type=obj&page=3
2016,4,16,trigonometry,,,,"The volume of a pyramid with height 15cm is 90cm 3 . If its base is a rectangle with dimension xcm by 6cm, find the value of x",3,5,6,8,A,https://myschool.ng/classroom/mathematics/46113?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,17,calculus,,,,"A straight line passes through the points P(1,2) and Q(5,8). Calculate the gradient of the line PQ",\(\frac{3}{5}\),\(\frac{2}{3}\),\(\frac{3}{2}\),\(\frac{5}{3}\),C,https://myschool.ng/classroom/mathematics/46117?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,18,general,,,,"A straight line passes through the point P(1,2) and Q (5,8). Calculate the length PQ",\(4\sqrt{11}\),\(4\sqrt{10}\),\(2\sqrt{17}\),\(2\sqrt{13}\),D,https://myschool.ng/classroom/mathematics/46119?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,19,trigonometry,,,,"If cos \(\theta\) = x and sin 60 o = x + 0.5 0 o < \(\theta\) < 90 o , find, correct to the nearest degree, the value of \(\theta\)",32o,40o,60o,69o,D,https://myschool.ng/classroom/mathematics/46120?exam_type=waec&exam_year=2016&type=obj&page=4
2016,4,20,statistics,,,,Age(years)1314151617Frequency1024853 The table shows the ages of students in a club. How many students are in the club?,50,55,60,65,A,https://myschool.ng/classroom/mathematics/46123?exam_type=waec&exam_year=2016&type=obj&page=4
2016,5,21,statistics,,,,\(\begin{array}{c|c} Age(years) & 13 & 14 & 15 & 16 & 17 \\ \hline Frequency & 10 & 24 & 8 & 5 & 3 \end{array}\) Find the median age,13,14,15,16,B,https://myschool.ng/classroom/mathematics/46126?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,22,geometry,,,https://myschool.ng/storage/classroom/XGirsFWhA7YXZ9uhVOd4NA4w4otZNXQtNRyx7jKl.png,"In the diagram, \(\bar{YW}\) is a tangent to the circle at X, |UV| = |VX| and < VXW = 50º. Find the value of < UXY.",70o,80o,105o,110o,B,https://myschool.ng/classroom/mathematics/46153?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,23,geometry,,,https://myschool.ng/storage/classroom/5928964352_15591913_1263169063747758_1460323577_n.jpg,"In the diagram, \(\bar{PF}\), \(\bar{QT}\), \(\bar{RG}\) intersect at S and PG||RG. If < SPQ = 113º and < RSt = 22º, find < PSQ",22o,45o,67o,89o,B,https://myschool.ng/classroom/mathematics/46170?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,24,geometry,,,https://myschool.ng/storage/classroom/28162386283_15592368_1263164870414844_834395803_n.jpg,"In the diagram, O is the centre of the circle, < XOZ = (10cm) o and < XWZ = m o . Calculate the value of m.",30,36,40,72,A,https://myschool.ng/classroom/mathematics/46171?exam_type=waec&exam_year=2016&type=obj&page=5
2016,5,25,general,,,,"Kweku walked 8m up to slope and was 3m above the ground. If he walks 12m further up the slope, how far above the ground will he be?",4.5m,6.0m,7.5m,9.0m,C,https://myschool.ng/classroom/mathematics/46172?exam_type=waec&exam_year=2016&type=obj&page=5
2016,6,26,geometry,,,https://myschool.ng/storage/classroom/16304549866_15645427_1263785183686146_156143416_n.jpg,"In the diagram, TS is a tangent to the circle at S. |PR| and < PQR = 177 o . Calculate < PST.",54o,44o,34o,27o,A,https://myschool.ng/classroom/mathematics/46173?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,27,geometry,,,https://myschool.ng/storage/classroom/4ynPYOrIx22klJUy7mrNGRJxlulv9MrJoTik0w1I.png,"In the diagram, PR||SV||WY|, TX||QY|, < PQT = 48o and < TXW = 60o.Find < TQU.",120o,108o,72o,60o,C,https://myschool.ng/classroom/mathematics/46174?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,28,geometry,,,https://myschool.ng/storage/classroom/26680278006_15644503_1263171263747538_2008796132_n.jpg,"In the diagram, TX is perpendicular to UW, |UX| = 1cm and |TX| = |WX| = \(\sqrt{3}\)cm. Find UTW",135o,105o,75o,60o,C,https://myschool.ng/classroom/mathematics/46175?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,29,statistics,,,https://myschool.ng/storage/classroom/10375667106_15673148_1263857170345614_1361153412_n.jpg,"The figure is a pie chart which represents the expenditure of a family in a year. If the total income of the family was Le 10,800,000.00, how much was spent on food?","Le 2,250,000.00","Le 22,700,000.00","Le 3,600,000.00","Le 4,500,000.00",C,https://myschool.ng/classroom/mathematics/46180?exam_type=waec&exam_year=2016&type=obj&page=6
2016,6,30,statistics,,,,A fair die is thrown two times. What is the probability that the sum of the scores is at least 10?,\(\frac{5}{36}\),\(\frac{1}{6}\),\(\frac{5}{18}\),\(\frac{2}{3}\),B,https://myschool.ng/classroom/mathematics/46191?exam_type=waec&exam_year=2016&type=obj&page=6
2016,7,31,statistics,,,,"The marks of eight students in a test are: 3, 10, 4, 5, 14, 13, 16 and 7. Find the range",16,14,13,11,C,https://myschool.ng/classroom/mathematics/46193?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,32,general,,,,"If log 2 (3x - 1) = 5, find x.",2.00,3.67,8.67,11,D,https://myschool.ng/classroom/mathematics/46196?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,33,geometry,,,,A sphere of radius rcm has the same volume as cylinder of radius 3cm and height 4cm. Find the value of r,\(\frac{2}{3}\),2,3,6,C,https://myschool.ng/classroom/mathematics/46199?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,34,general,,,,Express 1975 correct to 2 significant figures,20,"1,900","1,980","2,000",D,https://myschool.ng/classroom/mathematics/46203?exam_type=waec&exam_year=2016&type=obj&page=7
2016,7,35,geometry,,,https://myschool.ng/storage/classroom/17786902320_15666383_1263856643679000_724997235_n.jpg,"The diagram, MOPQ is a trapezium with QP||MO, MQ||NP, NQ||OP, |QP| = 9cm and the height of \(\Delta\) QNP = 6cm, calculate the area of the trapezium.",96cm2,90cm2,81cm2,27cm2,C,https://myschool.ng/classroom/mathematics/46204?exam_type=waec&exam_year=2016&type=obj&page=7
2016,8,36,geometry,,,,The perimeter of a sector of a circle of radius 21cm is 64cm. Find the angle of the sector [Take \(\pi = \frac{22}{7}\)],70o,60o,55o,42o,B,https://myschool.ng/classroom/mathematics/46207?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,37,geometry,,,https://myschool.ng/storage/classroom/25198141693_15645567_1263856207012377_894658571_n.jpg,Examine M' \(\cap\) N from the venn diagram,"{f, g}",{e},"{e, f, g}","{e, f, g}",A,https://myschool.ng/classroom/mathematics/46208?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,38,general,,,,"If 20(mod 9) is equivalent to y(mod 6), find y.",1,2,3,4,B,https://myschool.ng/classroom/mathematics/46209?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,39,algebra,,,,Simplify \(\frac{(p - r)^2 - r^2}{2p^2 - 4pr}\),\(\frac{1}{2}\),p - 2r,\(\frac{1}{p - 2r}\),\(\frac{2p}{p - 2r}\),A,https://myschool.ng/classroom/mathematics/46211?exam_type=waec&exam_year=2016&type=obj&page=8
2016,8,40,geometry,,,https://myschool.ng/storage/classroom/20751428992_15666358_1263857650345566_83405170_n.jpg,"In the diagram, O is the centre of the circle, < QPS = 100 o , < PSQ = 60 o and < QSR. Calculate < SQR",20o,40o,60o,80o,A,https://myschool.ng/classroom/mathematics/46213?exam_type=waec&exam_year=2016&type=obj&page=8
2016,9,41,statistics,,,,"A bag contains 5 red and 4 blue identical balls. Id two balls are selected at random from the bag, one after the other, with replacement, find the probability that the first is red and the second is blue",\(\frac{2}{9}\),\(\frac{5}{18}\),\(\frac{20}{81}\),\(\frac{5}{9}\),C,https://myschool.ng/classroom/mathematics/46215?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,42,general,,,,"The relation y = x 2 + 2x + k passes through the point (2,0). Find the value of k",- 8,- 4,4,8,A,https://myschool.ng/classroom/mathematics/46218?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,43,general,,,,"Find the next three terms of the sequence; 0, 1, 1, 2, 3, 5, 8...","13, 19, 23","9, 11, 13","11, 15, 19","13, 21, 34",D,https://myschool.ng/classroom/mathematics/46219?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,44,statistics,,,https://myschool.ng/storage/classroom/10375736630_15682818_1263994106998587_1558656391_n.jpg,Find the lower quartile of the distribution illustrated by the cumulative frequency curve,17.5,19.0,27.5,28.0,B,https://myschool.ng/classroom/mathematics/46222?exam_type=waec&exam_year=2016&type=obj&page=9
2016,9,45,geometry,,,,The ratio of the exterior angle to the interior angle of a regular polygon is 1:11. How many sides has the polygon?,30,24,18,12,B,https://myschool.ng/classroom/mathematics/46223?exam_type=waec&exam_year=2016&type=obj&page=9
2016,10,46,word-problem,,,,Halima is n years old. Her brother's age is 5 years more than half of her age. How old is her brother?,\(\frac{n}{2} + \frac{5}{2}\),\(\frac{n}{2}\) - 5,5 - \(\frac{n}{2}\),\(\frac{n}{2}\) + 5,D,https://myschool.ng/classroom/mathematics/46225?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,47,geometry,,,https://myschool.ng/storage/classroom/4446746130_15644999_1263860050345326_613389625_n.jpg,"In the diagram MN is a chord of a circle KMN centre O and radius 10cm. If < MON = 140 o , find, correct to the nearest cm, the length of the chord MN.",19cm,18cm,17cm,12cm,A,https://myschool.ng/classroom/mathematics/46226?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,48,trigonometry,,,,"An object is 6m away from the base of a mast. If the angle of depression of the object from the top of the mast is 50 o , find, correct to 2 decimal places, the height of the mast.",8.60m,7.83m,7.51m,7.15m,D,https://myschool.ng/classroom/mathematics/46227?exam_type=waec&exam_year=2016&type=obj&page=10
2016,10,49,geometry,,,https://myschool.ng/storage/classroom/20751647476_15666477_1263858723678792_91815391_n.jpg,"From the diagram, which of the following is true?",m + n + p = 180o,m + n = 180o,m = p + n,n = m + p,D,https://myschool.ng/classroom/mathematics/46229?exam_type=waec&exam_year=2016&type=obj&page=10
