Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2023,3,11,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,A mixture containing two salts of different solubility can be separated by,chromatography.,crystallization.,distillation.,evaporation.,B,https://myschool.ng/classroom/chemistry/69505?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,12,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Species that occur in a reaction pathway but not in the overall reaction are known as,Reactants,Inhibitors,Products,Intermediates,D,https://myschool.ng/classroom/chemistry/69506?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,13,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,How many moles are there in 3.0 g of \(O_2\)? [O = 16.0],0.0093 moles.,0.0930 moles.,0.0625 moles.,0.6250 moles.,B,https://myschool.ng/classroom/chemistry/69507?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,14,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Which of the following equimolar solutions has the highest conductivity?,\(H_2SO{_4(aq)}\),\(NaOH{_(aq)}\),\(H_2CO{_3(aq)}\),\(CH_3COOH{_4(aq)}\),A,https://myschool.ng/classroom/chemistry/69508?exam_type=waec&exam_year=2023&type=obj&page=3
2023,3,15,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,The pair of compounds that belongs to the same homologous series is,\(C_2H_6\) and \(C_4H_{10}\),\(C_3H_8\) and \(C_3H_6\),\(C_2H_4\) and \(C_4H_{10}\),\(C_4H_{10}\) and \(C_5H_{10}\),A,https://myschool.ng/classroom/chemistry/69509?exam_type=waec&exam_year=2023&type=obj&page=3
2023,4,16,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the following equations does not illustrate correctly one of the reactions of chlorine?,\(Ca(OH)_2 + Cl_2 → CaOCl_2 + H_2O\),\(Cl_2 + 2NaF → 2NaCl + F_2\),\(Cl_2 + 2NaOH → NaCl + NaClO + H_2O\),\(H_2S + Cl_2 → 2HCl + S\),B,https://myschool.ng/classroom/chemistry/69510?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,17,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The salt solution formed firm a reaction between ethanoic acid and sodium hydroxide solution would be,amphoteric.,neutral,basic,acidic,C,https://myschool.ng/classroom/chemistry/69511?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,18,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The separation technique that is suitable for separating iodine from tetrachloromethane is,solvent extraction,decantation,fractional distillation,filtration,A,https://myschool.ng/classroom/chemistry/69512?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,19,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Consider the following reaction equation: \(2SO_3(g) → 2SO_2(g) + O_2\)(g) ∆H = +198 kJ/mol Which of the following statements about the reaction is correct?,198 kJ of energy is given off,The reaction is exothermic,The reaction container would feel warm.,198 kJ of energy is absorbed,D,https://myschool.ng/classroom/chemistry/69513?exam_type=waec&exam_year=2023&type=obj&page=4
2023,4,20,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,"Arrange the following compounds in decreasing order of their boiling points: \(NH_3\), HF, \(SiH_4\), \(CH_4\)","HF,\(NH_3\), \(SiH_4\), \(CH_4\)","\(CH_4\), \(SiH_4\), HF, \(NH_3\),","\(NH_3\),\(CH_4\), \(SiH_4\), HF","\(CH_4\), \(SiH_4\), \(NH_3\), HF",A,https://myschool.ng/classroom/chemistry/69514?exam_type=waec&exam_year=2023&type=obj&page=4
2023,5,21,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Copper (II) ions are able to participate in co-ordinate covalent bonding because they,are coloured,are positively charged,have vacant d-orbital,have unpaired electrons,C,https://myschool.ng/classroom/chemistry/69515?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,22,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,What takes place at the cathode during electrolysis?,Anions lose electrons,Anions are oxidized,Cations are oxidized,Cations are discharged.,D,https://myschool.ng/classroom/chemistry/69516?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,23,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Carbon is deposited in the exhaust pipes of cars because of,presence of additives in petrol,incomplete combustion of petrol,presence of carbon in petrol,contamination of petrol with diesel,B,https://myschool.ng/classroom/chemistry/69517?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,24,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the following laws or theory cannot be explained by the application of the kinetic theory of gases?,Dalton's atomic theory,Charle's law,Boyle's law,Gay- Lussac's law,A,https://myschool.ng/classroom/chemistry/69518?exam_type=waec&exam_year=2023&type=obj&page=5
2023,5,25,diagram-based,,,https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,How many unpaired electrons are present in \(_{26}Fe^{3+}\)?,4,2,3,5,D,https://myschool.ng/classroom/chemistry/69519?exam_type=waec&exam_year=2023&type=obj&page=5
2023,6,26,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,A consequence of global warming is,air pollution,High Humidity,flooding,Water pollution,C,https://myschool.ng/classroom/chemistry/69520?exam_type=waec&exam_year=2023&type=obj&page=6
2023,6,27,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Going down group II in the periodic table normally,ionization energy increases,melting point increases,shielding effect decreases,electronegativity increases,B,https://myschool.ng/classroom/chemistry/69521?exam_type=waec&exam_year=2023&type=obj&page=6
2023,6,28,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The primary component of natural gas,ethane,methane,butane,propane,B,https://myschool.ng/classroom/chemistry/69522?exam_type=waec&exam_year=2023&type=obj&page=6
2023,6,29,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The gas that is less dense than air is,nitrogen,chlorine,Carbon(IV) oxide,Oxygen,A,https://myschool.ng/classroom/chemistry/69523?exam_type=waec&exam_year=2023&type=obj&page=6
2023,6,30,diagram-based,,,https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The periodic property that is used to determine whether a covalent molecule is polar or not is,atomic radius,ionization energy,electron affinity,electronegativity,D,https://myschool.ng/classroom/chemistry/69524?exam_type=waec&exam_year=2023&type=obj&page=6
2023,7,31,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,"If \(100^3\) of a saturated solution of sodium tetraoxosulphate (VI) at 30° C contains 10.5 g of the salt, what would be its solubility at this temperature? [(\(Na_2SO_4\) = 142]",2.15 mol dm-3,0.74 mol dm-3,0.60 mol dm-3,0.57 mol dm-3,B,https://myschool.ng/classroom/chemistry/69525?exam_type=waec&exam_year=2023&type=obj&page=7
2023,7,32,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,A compound that could be dried by using conc. tetraoxosulphate (VI) acid and not by calcium oxide is likely to be,a deliquescent salt,a neutral salt,an alkaline gas,an acid anhydride,D,https://myschool.ng/classroom/chemistry/69526?exam_type=waec&exam_year=2023&type=obj&page=7
2023,7,33,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the statements about gases is not correct?,Gases have low densities compared to solids and liquids of equal mass.,The total kinetic energy of the gas is not affected by collision,Molecules of the gas are in constant motion,Gases are highly soluble in water at high temperatures,D,https://myschool.ng/classroom/chemistry/69527?exam_type=waec&exam_year=2023&type=obj&page=7
2023,7,34,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Determine the volume of 0.100 mol of HCl in \(0.250 mol dm^3\) of solution.,\(200cm^3\),\(100cm^3\),\(20cm^3\),\(400cm^3\),D,https://myschool.ng/classroom/chemistry/69528?exam_type=waec&exam_year=2023&type=obj&page=7
2023,7,35,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Positive ions in a sea of electrons are found in,covalent bonds,metallic bonds,dative bonds,ionic bonds,B,https://myschool.ng/classroom/chemistry/69529?exam_type=waec&exam_year=2023&type=obj&page=7
2023,8,36,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,"An element X has two isotopes, \(^{65}X_{30}\) and \(^{66}X_{30}\) with relative abundance of 60 % and 40% respectively. The relative atomic mass of X is",66.00,65.50,65.00,65.40,D,https://myschool.ng/classroom/chemistry/69530?exam_type=waec&exam_year=2023&type=obj&page=8
2023,8,37,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the following statements about the collision theory is correct?,Ineffective collision brings about chemical reaction,All collisions bring about reactions,The rate of reaction is proportional to the number of effective collisions,Collision of molecules will split the molecules to react,C,https://myschool.ng/classroom/chemistry/69531?exam_type=waec&exam_year=2023&type=obj&page=8
2023,8,38,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Which of the following elements has its valence electrons in the s-orbital?,Aluminum,Phosphorus,Sodium,Carbon,C,https://myschool.ng/classroom/chemistry/69532?exam_type=waec&exam_year=2023&type=obj&page=8
2023,8,39,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,Petrochemistry is an example of,applied chemistry,Biochemistry,Pure chemistry,Environmental chemistry,A,https://myschool.ng/classroom/chemistry/69533?exam_type=waec&exam_year=2023&type=obj&page=8
2023,8,40,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png,The molecule that has a non-polar covalent bond is,HCl,\(NH_3\),\(Cl_2\),\(H_2O\),C,https://myschool.ng/classroom/chemistry/69534?exam_type=waec&exam_year=2023&type=obj&page=8
2023,9,41,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The reduction half equation of the following reaction is: \(Zn_{(s)} + CuSO_{4(aq)} → ZnSO_{4(aq)} + Cu_{(s)}\),\(Zn_{(s)} → Zn^{2+}_{(aq)} + 2e^-\),\(CuSO_{4(s)} + H_2O_{(l)}\) → \(Cu^{2+}_{(aq)}\) + \(SO_{4(aq)}^{2-}\),\(Cu^{2+}_{(aq)} + 2e^- → Cu_{(s)}\),\(Cu^{2+}_{(aq)} + e^- → Cu_{(s)}\),C,https://myschool.ng/classroom/chemistry/69540?exam_type=waec&exam_year=2023&type=obj&page=9
2023,9,42,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,"Why are \(H_2SO_4\) and \(CaCl_2\), not suitable for drying ammonia gas? They",are poisonous.,pollute the gas,are corrosive,react with the gas,D,https://myschool.ng/classroom/chemistry/69542?exam_type=waec&exam_year=2023&type=obj&page=9
2023,9,43,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Isoelectronic species have the same number of,ions,electrons,protons,neutrons,B,https://myschool.ng/classroom/chemistry/69544?exam_type=waec&exam_year=2023&type=obj&page=9
2023,9,44,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,"Which of the following gases has the lowest rate of diffusion? [H=1.0, C=12.0, N = 14.0, O= 16.0]",Nitrogen,methane,Ammonia,Oxygen,D,https://myschool.ng/classroom/chemistry/69545?exam_type=waec&exam_year=2023&type=obj&page=9
2023,9,45,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,An example of a crystalline substance that does not possess water of crystallization is,potassium trioxonitrate (V),sodium tetraoxosulphate (VI).,iron (II) tetraoxosulphate (VI),sodium trioxocarbonate (IV).,B,https://myschool.ng/classroom/chemistry/69548?exam_type=waec&exam_year=2023&type=obj&page=9
