Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2024,3,11,objective,,,,The responsibility of citizens towards nation-building is to,encourage civil disobedience in the face of hardship,participate and contribute to decision making,stampede government policies and programmes,boycott and withdraw services to the state,B,https://myschool.ng/classroom/government/71836?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,12,objective,,,,"By competing in general elections, political parties ultimately offer citizens",a choice in government,automatic membership of a party,opportunity to be extremely to one party,opportunity to vilify the government,A,https://myschool.ng/classroom/government/71837?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,13,objective,,,,Public opinion is an essential element in a democracy because it can act as a,check on leadership and government activities,mouthpiece for the opposition only,news outlet for the media and government only,propaganda tool for the government at all material times,A,https://myschool.ng/classroom/government/71839?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,14,objective,,,,The media serve a useful purpose in a democracy by,connecting the government and the people,ensuring government plays to their dictates,assisting in the formation of political parties,manipulating political leaders in government,A,https://myschool.ng/classroom/government/71841?exam_type=waec&exam_year=2024&type=obj&page=3
2024,3,15,objective,,,,One of the pivotal roles played by pressure groups in a functioning democracy is the,implementation of public policy by them,influence on public policy decisions,trumpeting of good deeds of a government always,blackmailing of the government to act in their favour,B,https://myschool.ng/classroom/government/71843?exam_type=waec&exam_year=2024&type=obj&page=3
2024,4,16,objective,,,,Promoting electoral integrity is the crucial function of which institution of state?,the civil society organisations,executive arm of government,electoral management body,security services,C,https://myschool.ng/classroom/government/71844?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,17,constitution,,,,These rights which are explicitly protected by the Constitution are referred to as,checks and balances,constitutional clauses,entrenched clauses,separation of powers,C,https://myschool.ng/classroom/government/71846?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,18,constitution,,,,"Constitutionally, the local government administration is controlled by the state through",administrators,legislation,native laws,state bureau,B,https://myschool.ng/classroom/government/71847?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,19,objective,,,,"Which state institution is referred to as the bureaucratic wing responsible for the running of government offices, agencies and departments?",Bureau of National Affairs,Civil Service,Controller of state services,Public services board,B,https://myschool.ng/classroom/government/71848?exam_type=waec&exam_year=2024&type=obj&page=4
2024,4,20,objective,,,,The local government administration in many West African countries is faced with a myriad of problems one of which is,employment retention,illiterate traditional authorities,unavailability of land,weak institution,A,https://myschool.ng/classroom/government/71849?exam_type=waec&exam_year=2024&type=obj&page=4
2024,6,26,constitution,,,,A set of principles enshrined in a constitution that guide the government in making laws and policies for the welfare of the people is referred to as,directive principle of state policy,constitutional provisions,Human Rights and Administrative Justice,"edicts, customs and traditions",A,https://myschool.ng/classroom/government/71857?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,27,objective,,,,"Which situation in a democratic state can create an environment where military intervention is perceived as the only option to restore order, protect the population or address grievances?",boycott of elections,economic crises,political crises,youth unemployent,C,https://myschool.ng/classroom/government/71858?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,28,objective,,,,"Despite the many challenges bedevilling the Economic Community of West African States (ECOWAS), it has managed over the years in promoting",collective will against globalisation,trade tariffs and self-reliance,regional integration and cooperation,,C,https://myschool.ng/classroom/government/71860?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,29,objective,,,,One of the reasons for which the United Nations (UN) is considered as the only influential world body is the fact that it,plays a crucial role in international diplomacy,supports the war mission of member countries,influences regime change by supporting the opposition,withholds humanitarian support to military regimes,A,https://myschool.ng/classroom/government/71861?exam_type=waec&exam_year=2024&type=obj&page=6
2024,6,30,objective,,,,The African Union (AU) aims at ensuring the following developments in member countries except for,equal distribution of wealth,governance and democracy,peace and security,social development,B,https://myschool.ng/classroom/government/71862?exam_type=waec&exam_year=2024&type=obj&page=6
2024,7,31,objective,,,,The Commonwealth of Nations concerns itself with one of the following activities in member countries which is,assisting in the overthrow of unpopular government,conducting elections in member countries,operating the financial sector of poor countries,promotion of peace and security,D,https://myschool.ng/classroom/government/71864?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,32,objective,,,,The African Union (AU) aims to promote gender equality and women's empowerment through the strategic framework organ of the,African Peer Review Mechanism (APRM),African Development Bank (ADB),New Partnership for Africa's Development (NEPAD),Specialised Commission of Women Empowerment (SCWE),D,https://myschool.ng/classroom/government/71866?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,33,objective,,,,"What encompasses a range of diplomatic, political, economic and security decisions and actions that a state embarks on to protect and promote sovereignty on the global stage?",Alliances,Foreign policy,National interest,constitutionalism,B,https://myschool.ng/classroom/government/71868?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,34,objective,,,,What colonial policy worked against the sovereign power and authority and the traditional political authority and institutions?,Crown Colony Edict,Expatriate Edict,Indirect Rule,Protectorate Colony Edict,,https://myschool.ng/classroom/government/71870?exam_type=waec&exam_year=2024&type=obj&page=7
2024,7,35,objective,,,,The surge in nationalism and its related activities was fueled by oppressive colonial experiences and,partition of West African territories,the strong desire for civilisation,ideology and activities of Pan-Africanism,monopoly of mineral resources and land degradation,C,https://myschool.ng/classroom/government/71872?exam_type=waec&exam_year=2024&type=obj&page=7
2024,8,36,objective,,,,Which institution of state enables different groups and interests to be represented as well as actively participate in the political space?,Advocate Groups,Democracy,Judiciary,Political party,,https://myschool.ng/classroom/government/71875?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,37,objective,,,,Nationalism played a crucial role in the struggle for independence in West Africa by way of fostering a sense of community among the people and,abhorrence of the Western style of governance,civil disobedience and the killings of white officials,dismantling of artificial borders,political consciousness,D,https://myschool.ng/classroom/government/71877?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,38,objective,,,,The Crown Colony policy introduced some progressive institutions of governance in West Africa such as the,creation of the rigid class system,education of the traditional rulers,introduction of the Western legal system,introduction of military academy,C,https://myschool.ng/classroom/government/71886?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,39,objective,,,,The following influential nationalist leaders contributed significantly to shaping the political destiny and nation-states of West Africa except,Dawda Kairaba Jawara,Kwame Nkrumah,Nnamdi Azikwe,Oliver Tambo,D,https://myschool.ng/classroom/government/71928?exam_type=waec&exam_year=2024&type=obj&page=8
2024,8,40,objective,,,,Diplomacy plays a vital role in shaping the interactions between states and by extension maintaining,bipolar world,global stability,power blocks,unipolar world,B,https://myschool.ng/classroom/government/71929?exam_type=waec&exam_year=2024&type=obj&page=8
2024,9,41,objective,,,,Military rule does not only pose a threat to democracy but also to,fundamental human rights,national borders,nationalism and patriotism,state sovereignty,A,https://myschool.ng/classroom/government/71930?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,42,constitution,,,,The following constitute the key features of most independent constitutions in West African States except,nationalist leaders became army commanders,democratic principles of governance,national unity and diversity,socio-economic rights and development,A,https://myschool.ng/classroom/government/71931?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,43,objective,,,,The grave effect of the French Colonial Policy of Assimilation in her West African Colonies was the,aggressive development of nationalism,shortfall in the essential needs of the colonies,slow pace in their political fortunes,waging war on neighbouring colonial territories,C,https://myschool.ng/classroom/government/71934?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,44,objective,,,,The British Colonial policy in her West African territories was marked by the following strategies and structures except,divide and rule,economic exploitation,indirect rule,investments in the colonies,D,https://myschool.ng/classroom/government/71935?exam_type=waec&exam_year=2024&type=obj&page=9
2024,9,45,objective,,,,Globalisation impacts the development and progress of West African States by way of,manipulation of economics of states,propping of regimes,protecting state sovereignty,technology transfer,D,https://myschool.ng/classroom/government/71936?exam_type=waec&exam_year=2024&type=obj&page=9
2024,10,46,theory,,,,"Power, authority, legitimacy and sovereignty are described in the study of government as what?",Basic Concepts and Principles,Constitutionalism and Meanings,Principles and Structures,Structure of Governance,A,https://myschool.ng/classroom/government/71937?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,47,theory,,,,A government with corrupt rulers who use their power to exploit the people and natural resources of their own territory to extend their personal wealth and political power is described as,autocracy,capitalism,kleptocracy,oligarchy,C,https://myschool.ng/classroom/government/71939?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,48,objective,,,,In what way can the local government system assist in national development? By,aligning local efforts with broader national goals,depending on the central government for basic needs and development,encouraging youth movement to the industrial centres,ensuring only top-bottom policies of government are supported,A,https://myschool.ng/classroom/government/71940?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,49,objective,,,,The perceived perennial problem of the United Nations (UN) since its inception is the,Directive Principles of State Policy,deep-seated diversity among member states,nature of political leaders and their ages,poor constitutional provisions of member states,B,https://myschool.ng/classroom/government/71941?exam_type=waec&exam_year=2024&type=obj&page=10
2024,10,50,objective,,,,"For the executive to enjoy the goodwill of the people in a democratic state, it must adhere to the tenets of",the Council of State,exercise of unrestrained power,laissez-faire government,political equality,D,https://myschool.ng/classroom/government/71942?exam_type=waec&exam_year=2024&type=obj&page=10
