Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2020,5,21,objective,,,,The predominant use of long vowels in the first sentence heightens the ______ of the waves,anger,expanse,great noise,endless movement,D,https://myschool.ng/classroom/literature-in-english/58688?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,22,objective,,,,The writer's attitude to the scene is one of _________,anxiety,awe,contempt,indiference,A,https://myschool.ng/classroom/literature-in-english/58689?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,23,objective,,,,The expression million voices is used as _________,conceit,euphemism,hyperbole,metonymy,C,https://myschool.ng/classroom/literature-in-english/58692?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,24,objective,,,,A ship in the last line symbolises _________,despair.,hope,pirates,sailors,B,https://myschool.ng/classroom/literature-in-english/58694?exam_type=waec&exam_year=2020&type=obj&page=5
2020,5,25,objective,,,,The theme is about the poet's _________,broken love affairs.,fee the stilly night.,sleepless night.,yearning for happier times gone,D,https://myschool.ng/classroom/literature-in-english/58698?exam_type=waec&exam_year=2020&type=obj&page=5
2020,6,26,objective,,,,The theme of the poem is presented essentially through ________,assonance,contrast.,paradox,repetition,B,https://myschool.ng/classroom/literature-in-english/58719?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,27,objective,,,,The two words that give hint of the poet's unhappiness are?,light and night,light and shone,night and dimm'd,Shone and dimm'd,C,https://myschool.ng/classroom/literature-in-english/58744?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,28,objective,,,,The poet refers to memory as being 'fond' and 'sad' because it brings?,cheers and smiles,love and joy,sorrow and pity,smiles and tears,D,https://myschool.ng/classroom/literature-in-english/58746?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,29,objective,,,,"The meaning of the expression, *Ere slumber's chain has bound me* is",after i wake up,before i sleep,before i dream,since i cannot sleep,D,https://myschool.ng/classroom/literature-in-english/58747?exam_type=waec&exam_year=2020&type=obj&page=6
2020,6,30,objective,,,,The speaker is _________,Cassio,Iago,Lodovico,Roderigo,B,https://myschool.ng/classroom/literature-in-english/58748?exam_type=waec&exam_year=2020&type=obj&page=6
2020,7,31,objective,,,,The listener's initial reaction to the speech is one of _________,anger,defiance,disbelief,regret,A,https://myschool.ng/classroom/literature-in-english/58751?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,32,objective,,,,The underlined expression implies an attitude of __________,callousness,hypocrisy,racism,tribalism,C,https://myschool.ng/classroom/literature-in-english/58752?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,33,objective,,,,... y' are robbed! refers to,Brabantio's r-ejection of Othello,Desdemona's stout defense of Othello,Iago's stealing of Rodrigo's purse,Othello's elopement with Desdemona,A,https://myschool.ng/classroom/literature-in-english/58753?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,34,objective,,,,The speaker is ________,at the citadel of Cyprus,In front of Brabantio's house,In the council chamber,outside the sagittary,B,https://myschool.ng/classroom/literature-in-english/58754?exam_type=waec&exam_year=2020&type=obj&page=7
2020,7,35,objective,,,,The speaker is,cassio,Iago,Duke,Roderigo,A,https://myschool.ng/classroom/literature-in-english/59334?exam_type=waec&exam_year=2020&type=obj&page=7
2020,8,36,objective,,,,The speaker is addressing,Cassio,Iago,Othelo,Roderigo,B,https://myschool.ng/classroom/literature-in-english/59335?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,37,objective,,,,The mood is that of,deceit,envy,hatred,regret,B,https://myschool.ng/classroom/literature-in-english/59336?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,38,objective,,,,.... *so good a commander* refers to,Brabantio,Duke,Othelo,Roderigo,C,https://myschool.ng/classroom/literature-in-english/59337?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,39,objective,,,,The underlined expression exemplifies __________,antithesis,apostrophe,chiasmus,euphemism,B,https://myschool.ng/classroom/literature-in-english/59338?exam_type=waec&exam_year=2020&type=obj&page=8
2020,8,40,objective,,,,".. he ..., referred to by Speaker X, is __________",Brabantio,Gratiano,Montano,Lodovico,A,https://myschool.ng/classroom/literature-in-english/59340?exam_type=waec&exam_year=2020&type=obj&page=8
2020,9,41,objective,,,,..do a desperate turn means _______,commit suicide,confront Duke,disown Desdemona,kill Othello,D,https://myschool.ng/classroom/literature-in-english/59341?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,42,objective,,,,Speaker Y's speech shows that _________,Cassio is to blame,Emilia is to blame,he is unrepentant,she is regretful,C,https://myschool.ng/classroom/literature-in-english/59342?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,43,objective,,,,Speaker Y has just ______,discovered lago's plan,"killed, Desdemona",ordered the arrest of lago,promoted Cassio,B,https://myschool.ng/classroom/literature-in-english/59343?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,44,objective,,,,Just after this dialogue __________,Cassio is killed,Emilia realises her culpability,lago gloats over his success,Roderigo fights Cassio,B,https://myschool.ng/classroom/literature-in-english/59344?exam_type=waec&exam_year=2020&type=obj&page=9
2020,9,45,objective,,,,The speaker is _________,Bianca,Cassio,Desdemona,Emilia,D,https://myschool.ng/classroom/literature-in-english/59345?exam_type=waec&exam_year=2020&type=obj&page=9
2020,10,46,objective,,,,The speaker has just been threatened by ________,Cassio,lago,Lodovico,Othello,D,https://myschool.ng/classroom/literature-in-english/59346?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,47,objective,,,,What has just happened is that _______,Emilia has confirmed her mistress's guilt,lago has openly confessed his crime,Othello has murdered his wife,Roderigo has realised lago is a fraud,C,https://myschool.ng/classroom/literature-in-english/59347?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,48,objective,,,,"Soon after this, the Speaker ________",attempts to run away,is arrested by Lodovico,is killed by lago,shows remorse,C,https://myschool.ng/classroom/literature-in-english/59348?exam_type=waec&exam_year=2020&type=obj&page=10
2020,10,49,objective,,,,This stage of the play is known as the _________,climax,conflict,dennouement,exposition,C,https://myschool.ng/classroom/literature-in-english/59349?exam_type=waec&exam_year=2020&type=obj&page=10
