Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,5,22,diagram-based,,,https://myschool.ng/storage/classroom/MU0TO7ReyzPPVLt2aK0qGzkCu2vnCdB87tEaP0Ju.jpeg,Which of the following graphs gives the correct relationship between energy and mass when mass is converted to energy.,A,B,C,D,B,https://myschool.ng/classroom/physics/58889?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,23,calculation,,,,"An 800 kg car moving at 80 km hr\(^{-1}\) collides with a 1200 kg car moving at 40 km hr\(^{-1}\) in the same direction. If the cars stick together, calculate their common velocity.",60 km hr\(^{-1}\),8 km hr\(^{-1}\),40 km hr\(^{-1}\),56 km hr\(^{-1}\),D,https://myschool.ng/classroom/physics/58901?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,24,objective,,,,The mass of a load is doubled while the force acting on it is halved. The resulting acceleration of the load is,quadrupled,quartered,halved,doubled,B,https://myschool.ng/classroom/physics/58904?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,25,objective,,,,The maximum and minimum thermometer reads the,the maximum temperature during the day and the minimum temperature at night at all times.,the maximum temperature at night and minimum temperature during the day at all times,,the maximum temperature during the day and minimum temperature at night from the last reset,D,https://myschool.ng/classroom/physics/58913?exam_type=waec&exam_year=2019&type=obj&page=5
2019,6,26,objective,,,,An a.c. the generator can be converted to a d.c. generator by replacing the,commutator with an armature,armature with a commutator,commutator with slip rings,slip rings with a commutator,D,https://myschool.ng/classroom/physics/58915?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,27,objective,,,,Which of the following statements is the correct reason for using soft iron in making the armature or an electric bell?,It is a diamagnetic material,It loses its magnetism readily,It is not easily magnetized,It retains its magnetism for a long time,B,https://myschool.ng/classroom/physics/58919?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,28,diagram-based,,,https://myschool.ng/storage/classroom/a9wNYzyBjlLLjbYzWgNPIm3ulsrCqUFLfDcdaq7R.png,The diagram above illustrates a meter bridge circuit underbalanced conditions. Determine the value of x.,50.cm,10.0 cm,28.6 cm,57.2 cm,A,https://myschool.ng/classroom/physics/58941?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,29,objective,,,,Which of the following devices is used for storing electric charges?,Transformer,Ammeter,Potentiometer,Capacitor,D,https://myschool.ng/classroom/physics/58948?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,30,calculation,,,,An electron of mass 9.1 x 10\(^{-31}\) kg moves with a speed of 2.0 x 10\(^6\) ms\(^{-1}\) round the nucleus of an atom in a Circular path of radius 6.1 x 10(^{11}\) m. Determine the angular speed of the electron.,3.28 x 10\(^{16}\) rad s\(^{-1}\),8.55 x 10\(^{3}\) rad s\(^{-1}\),9.11 x 10\(^{13}\) rad s\(^{-1}\),5.22 x 10\(^{15}\) rad s\(^{-1}\),A,https://myschool.ng/classroom/physics/58963?exam_type=waec&exam_year=2019&type=obj&page=6
2019,7,31,calculation,,,,An electron of mass 9.1 x 10\(^{-31}\) kg moves with a speed of 2.0 x 10\(^6\) ms\(^{-1}\) round the nucleus of an atom in a Circular path of radius 6.1 x 10\(^{11}\) m. Calculate the centripetal force acting on the electron.,7.7 x 10\(^{47}\) N,6.0 x 10\(^{-8}\)N,3.0 x 10\(^{-14}\)N,1.3 x 10\(^{-26}\)N,B,https://myschool.ng/classroom/physics/58977?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,32,calculation,,,,A device consumes 100 W of power when connected to a 120 V source. Calculate its resistance.,1.2\(\Omega\),"12,000 \(\Omega\)",20.0\(\Omega\),144\(\Omega\),D,https://myschool.ng/classroom/physics/58985?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,33,objective,,,,Which property of a wave remains constant when the wave travels from one medium into another?,Amplitude,Wavelength,Velocity,Frequency,D,https://myschool.ng/classroom/physics/59012?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,34,objective,,,,The anomalous expansion of water occurs in the range,0 °C to 100 °C,0 °C to 4 °C,4 °C to 100 C,-4 °C to 0 °C,B,https://myschool.ng/classroom/physics/59014?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,35,calculation,,,,A ray of light traveling from a rectangular glass block of refractive index 1.5 into air strikes the block at an angle of incidence of 30. Calculate its angle of refraction.,48.6°,19.5°,20.0,45.0,A,https://myschool.ng/classroom/physics/59015?exam_type=waec&exam_year=2019&type=obj&page=7
2019,8,36,calculation,,,,A rectangular piece of iron measuring 4 cm by 3 cm at 20\(^o\)C is heated until its temperature increases by 100 C. Calculate the new area of the metal. [Linear expansivity of iron is 1.2x 10\(^{-5}\) K\(^{-1}\)],12.0144 cm\(^3\),12.0346 cm\(^3\),12.0288 cm\(^3\),12.0173 cm\(^3\),C,https://myschool.ng/classroom/physics/59017?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,37,calculation,,,,Two bodies of masses 3.0 kg and 2.0 kg are separated by a distance of 50 cm. Calculate the force of attraction between them. [G = 6.67 x 10\(^{-11}\) Nm\(^2\) kg\(^2\)],1.6 x 10\(^{-9}\)N,1.3 x 10\(^{3}\)N,2.3 x 10\(^{3}\)N,5.0x 10\(^{3}\)N,A,https://myschool.ng/classroom/physics/59019?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,38,diagram-based,,,https://scontent.xx.fbcdn.net/v/t1.15752-9/s280x280/234892323_3021360461517542_4684927110242210929_n.jpg?_nc_cat=110&ccb=1-4&_nc_sid=aee45a&_nc_eui2=AeFxn8TH-HBBE5WL5NgmfWoIbR_bfCsAVIRtH9t8KwBUhKgaBK7yPCIF2Ou62q6H8BVjJu8OsKhfzNlxgdqvdes3&_nc_ohc=IE-x5JhNBWUAX-Qs3Ni&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=5b7cf666f9b337e28d3365fd04caca94&oe=613892BE | https://myschool.ng/storage/classroom/amTrZ6bk8dvXvawRuQLHxqoJiwBBM5D40Y7ELbGk.jpeg,The diagram above illustrates an object moving in a circular path at a constant speed. Which of the arrows indicates the direction of linear velocity?,z,X,Y,W,A,https://myschool.ng/classroom/physics/59022?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,39,objective,,,,Which of the following thermometers is used to measure the temperature of the human body?,Thermocouple,Alcohol-in-glass thermometer,Gas thermometer,Platinum resistance thermometer,B,https://myschool.ng/classroom/physics/59023?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,40,diagram-based,,,https://myschool.ng/storage/classroom/02JaQYOWzvZerBOA90feTFFAqZBJxtBFI4vaDFjb.jpeg,"In the diagram above, the time taken to trace a wave between P and Q is?",2 periods,1 period,1\(\frac{1}{2}\) periods,1\(\frac{1}{4}\) periods,A,https://myschool.ng/classroom/physics/59024?exam_type=waec&exam_year=2019&type=obj&page=8
2019,9,41,diagram-based,,,,Which of the following materials does not serve as a safety device in electrical circuits?,Connecting wires,Earth wire,Fuse,Switch,A,https://myschool.ng/classroom/physics/59025?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,42,objective,,,,Which of the following liquids has the highest surface tension?,Soapy water,Cold water,Hot water,oily water,B,https://myschool.ng/classroom/physics/59026?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,43,calculation,,,,The nucleon and proton numbers of a neutral atom of an element are 238 and 92 respectively. Determine the number of neutrons in the atom.,119,330,165,146,D,https://myschool.ng/classroom/physics/59027?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,44,objective,,,,An instrument used to measure relative humidity is the?,hygrometer,hydrometer,pyrometer,manometer,A,https://myschool.ng/classroom/physics/59028?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,45,diagram-based,,,,The area under a velocity-time graph represents,speed,acceleration,moment,distance,D,https://myschool.ng/classroom/physics/59030?exam_type=waec&exam_year=2019&type=obj&page=9
2019,10,46,objective,,,,Which of the following statements about a neutral atom is correct? The,core is composed of electrons and protons,number of electrons is equal to that of neutron,number of neutrons is equal to that of protons,number of protons is equal to that of electrons.,D,https://myschool.ng/classroom/physics/59031?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,47,objective,,,,Which of the following properties is not exhibited by sound waves?,Diffraction,Polarization,Interference,Reflection,B,https://myschool.ng/classroom/physics/59032?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,48,objective,,,,When ultraviolet light is incident on certain metallic p articles are emitted. These particles are called,positrons,protons,photoelectrons,photons,C,https://myschool.ng/classroom/physics/59035?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,49,diagram-based,,,https://scontent.xx.fbcdn.net/v/t1.15752-9/p206x206/220444067_715004986006541_4333746310239167537_n.jpg?_nc_cat=101&ccb=1-4&_nc_sid=aee45a&_nc_eui2=AeF4w3P0fYrmBjmaUDtvt7xds-tnjtHRXzGz62eO0dFfMUTlrslMSBkWKqr0kpi4Ut2-C90QFyjRtItu0uIFb9jl&_nc_ohc=7Hau41XlSDsAX_ipSzM&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=f32deba90af1fe19b44a393ede727ec1&oe=6138E839 | https://myschool.ng/storage/classroom/8ODEtwffMu57E8p86Q3oxSUv3qeTpj7YlQXIlk3C.jpeg,The graph above illustrates the variation of temperature \(\theta\) with time (t) for a solid that is being heated. Which processes take place at segments P and Q respectively?,Freezing and vaporization,Evaporation and solidification,Melting and boiling,Condensation and evaporation,C,https://myschool.ng/classroom/physics/59043?exam_type=waec&exam_year=2019&type=obj&page=10
