Year,Page,Question_Number,Question_Type,Instruction,Diagram_Context,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2022,3,11,cell-chemistry,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Determine the quantity of electricity used when a current of 0.20 amperes is passed through an electrolytic cell for 60 minutes.,12C,120C,360C,720C,D,https://myschool.ng/classroom/chemistry/65801?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,12,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Oxochlorate(I) acid is used as a bleaching agent because it is,a weak acid,a reducing agent.,an oxidizing agent,a strong acid.,C,https://myschool.ng/classroom/chemistry/65802?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,13,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,The IUPAC name for CH\(_{3}\)CHCH\(_{3}\)CHCLCHCH\(_{3}\)CH\(_{2}\)CH\(_{3}\) is,"2, 4 - dimethyl - 3 - chlorohexane","3, 5 - dimethyl - 4 - chlorohexane","4 - chloro - 3, 5 - dirnethylhexane","3 - chloro - 2, 4 - dimethylhexane",D,https://myschool.ng/classroom/chemistry/65803?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,14,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,A colourless gas with a pungent smell is evolved when dilute hydrochloric acid is added to a sample of a salt. The gas evolved could turn,acidified K\(_{2}\)Cr\(_{2}\)O\(_{7}\) solution colourless,acidified KMnO\(_{4}\) solution colourless,Fe(NO\(_{3}\))\(_{2}\) solution green,Pb(NO\(_{3}\))\(_{2}\) paper black,B,https://myschool.ng/classroom/chemistry/65804?exam_type=waec&exam_year=2022&type=obj&page=3
2022,3,15,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"If 5.0 g of marble reacts with 25.0 cm3 hydrochloric acid, which of the following combinations has the fastest reaction rate?",Marble chips and 2.0 mol dm\(^{-3}\) HCl\(_{(aq)}\),Marble chips and 2.5 mol dm\(^{-3}\) HCl\(_{(aq)}\),Powdered marble and 2.5 mol dm\(^{-3}\) HCl\(_{(aq)}\),Powdered marble and 2.0 mol dm\(^{-3}\) HCl\(_{(aq)}\),C,https://myschool.ng/classroom/chemistry/65805?exam_type=waec&exam_year=2022&type=obj&page=3
2022,4,16,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Increasing the temperature generally,decreases the solubility of a solid in a liquid but increases the solubility of a gas in a liquid.,increases the solubility of a solid in a liquid but decreases the solubility of a gas in a liquid.,increases the solubility of both a solid and a gas in a liquid,decreases the solubility of both a solid and a gas in a liquid,B,https://myschool.ng/classroom/chemistry/65806?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,17,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,A white precipitate was formed when BaCl\(_{2(aq)}\) was added to an aqueous solution of a salt X. The precipitate dissolved in dilute HCl with rapid effervescence. Salt X is likely to contain,SO\(_{4}\) \(^{2-}\) ions,SO\(_{3}\) \(^{2-}\) ions,NO\(_{3}\)- ions,CO\(_{3}\) \(^{2-}\)- ions,B,https://myschool.ng/classroom/chemistry/65807?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,18,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,"Before a reaction could take place, there should be",ionization of reactant particles,breakage of bonds of products,ionization of product particles,,C,https://myschool.ng/classroom/chemistry/65808?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,19,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Consider the following reaction equation: CaO + SiO\(_{2}\) ------> CaSiO\(_{3}\) Silicon(IV) oxide is acting as,a basic oxide,a reducing agent,an acidic oxide,an oxidizing agent,C,https://myschool.ng/classroom/chemistry/65809?exam_type=waec&exam_year=2022&type=obj&page=4
2022,4,20,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/gY5ybf8PuaQgRsrpNJIQYWgHjqCDvOCzpBatR4LA.png,Which of the following acids would form normal salt only?,Tetraoxosulphate(VI) acid,Trioxonitrate(V) acid,Tetraoxophosphate(V) acid,Trioxosulphate(IV) acid,B,https://myschool.ng/classroom/chemistry/65810?exam_type=waec&exam_year=2022&type=obj&page=4
2022,5,21,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,What is the partial pressure of oxygen at s.t.p. in a gaseous mixture containing 100 cm3 of oxygen and 900 cm3 of nitrogen gas?,1.0 atm,0.1 atm,9.0 atm,0.9 atm,B,https://myschool.ng/classroom/chemistry/65811?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,22,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Graphite is used as a dry lubricant due to the presence of,mobile electrons,free electrons,octahedral structures,layered structures,D,https://myschool.ng/classroom/chemistry/65812?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,23,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the following gases is alkaline?,NO\(_{2}\),CO\(_{2}\),NH\(_{3}\),N\(_{2}\)O,C,https://myschool.ng/classroom/chemistry/65813?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,24,plant-chemistry,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the following statements about an equilibrium system is correct?,Forward and backward reactions occur at the same rate,The concentrations of reactants must equal that of the products,"The concentrations of, reactants and products can be changed by adding a catalyst,",The concentrations of reactants and products are not affected by a change in temperature,A,https://myschool.ng/classroom/chemistry/65814?exam_type=waec&exam_year=2022&type=obj&page=5
2022,5,25,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Consider the following reaction equation N\(_{2}\)(g) + 3H\(_{2(g)}\) ⇌ 2NH3(g) ∆H = -92kJ Increasing the temperature of the reaction would,shift the equilibrium to the right,increase the yield of ammonia,decrease the amount of hydrogen,decrease the yield of ammonia,D,https://myschool.ng/classroom/chemistry/65815?exam_type=waec&exam_year=2022&type=obj&page=5
2022,6,26,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,"When air in a syringe is compressed such that there is no change in temperature, the",air liquefies,pressure increases,intermolecular space increases,density decreases,B,https://myschool.ng/classroom/chemistry/65816?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,27,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,Which of the following statements about liquids is/are true? I. Liquids maintain their volume at constant temperature. II. Liquids have fixed shape III. Liquids do not diffuse IV. Change in pressure affects volume of liquids,I only,IV only,I and IV only,II and III only,A,https://myschool.ng/classroom/chemistry/65817?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,28,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,A hydrogen chloride gas reacted with oxygen gas to yield water and chlorine gas. The mole ratio of the hydrogen chloride gas to water is,1:3,2:1,3:1,4:1,B,https://myschool.ng/classroom/chemistry/65818?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,29,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,What number of moles of oxygen would exert a pressure of 10 atm at 320 K in an 8.2 dm\(^{3}\) cylinder? [R=0.082 atm dm\(^{-3}\) mol\(^{-1}\) K\(^{-1}\)],0.32,1.52,3.13,31.25,C,https://myschool.ng/classroom/chemistry/65819?exam_type=waec&exam_year=2022&type=obj&page=6
2022,6,30,diagram-based,,,https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png,"If 50 cm\(^{3}\) of a saturated solution of KNO\(_{3}\) at 40 °C contained 5.05 g of the salt, its solubility at the same temperature would be [KNO\(_{3}\) = 101]",1.0 mol dm\(^{-3}\),1.5 mol dm\(^{-3}\),2.0 mol dm\(^{-3}\),5.0 mol dm\(^{-3}\),A,https://myschool.ng/classroom/chemistry/65820?exam_type=waec&exam_year=2022&type=obj&page=6
2022,7,31,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Which of the following elements would displace copper from a solution of copper ions?,silver,gold,lead,mercury,C,https://myschool.ng/classroom/chemistry/65872?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,32,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,"What is the percentage composition of carbon in Ca(HCO3)\(_{2}\) ? [ Ca = 40.0, 0= 16.0, C = 12.0, H= 1.0]",22.2%,14.8%,7.4%,3.7%,B,https://myschool.ng/classroom/chemistry/65873?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,33,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Which of the following bond types is intermolecular?,Covalent bond,Hydrogen bond,Ionic bond,Metallic bond,B,https://myschool.ng/classroom/chemistry/65874?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,34,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The maximum number of covalent bonds formed by nitrogen is,1,2,3,4,D,https://myschool.ng/classroom/chemistry/65875?exam_type=waec&exam_year=2022&type=obj&page=7
2022,7,35,diagram-based,,,https://myschool.ng/storage/serve/r0Y7i84BLlLyRnwn1qtuojPBLxfW5NOMxmJiWDzQ.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The IUPAC name of the compound CH3CH(CH3)CHCH2 is,2 - methyl but - 1 - ene,2 - methyl but - 2 - ene,3 - methyl but - 1 - ene,3 - methyl but - 2 - ene,C,https://myschool.ng/classroom/chemistry/65876?exam_type=waec&exam_year=2022&type=obj&page=7
2022,8,36,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Ionization energy increases across the period in the periodic table because,atomic number increases,effective nuclear charge increases,mass number decreases,screening effect decreases,B,https://myschool.ng/classroom/chemistry/65877?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,37,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the following properties indicate that an element is a metal. It I. reacts with oxygen to form an acidic oxide II. forms ionic chlorides III. has variable oxidation states IV. displaces hydrogen from dilute HCl,I and III only,I and II only,II and IV only,"I, II, III and IV",C,https://myschool.ng/classroom/chemistry/65878?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,38,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,The electron configuration of carbon atom in its excited state is,1s\(^{2}\)2s\(^{2}\)2px\(^{1}\)2py\(^{1}\),,1s\(^{2}\)2s\(^{1}\)2px\(^{1}\)2py\(^{1}\)2pz\(^{1}\),1s\(^{1}\)2s\(^{2}\)2px\(^{1}\)2py\(^{1}\),C,https://myschool.ng/classroom/chemistry/65879?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,39,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,An oxide has the following properties. It I. is a white powder II. reacts with HCI. III. reacts with NaOH IV. is insoluble in water The oxide is,alkaline,amphoteric,acidic,neutral,B,https://myschool.ng/classroom/chemistry/65880?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,40,diagram-based,,,https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/bPQkdn3HjQoJibS2jBvlUfxZrF7dVBlO4PnfE6hs.png,Which of the following statements about atoms of a metal is correct? They,readily accept electrons,are soft,are held together by covalent bond,are held together by a sea of electron cloud,D,https://myschool.ng/classroom/chemistry/65881?exam_type=waec&exam_year=2022&type=obj&page=8
2022,9,41,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,The atom with the electron configuration 1s\(^{2}\)2s\(^{2}\)2p63s\(^{2}\)3p\(^{6}\)3d\(^{10}\)4s\(^{2}\)4p\(^{4}\) is in,"period 4, p- block","period 3, p- block","period 4, d- block","period 3, d- block",A,https://myschool.ng/classroom/chemistry/65882?exam_type=waec&exam_year=2022&type=obj&page=9
2022,9,42,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Electropositivity of elements across the periodic table normally,remains constant down the group,increases across the period,decreases across the period,decreases down the group,C,https://myschool.ng/classroom/chemistry/65883?exam_type=waec&exam_year=2022&type=obj&page=9
2022,9,43,diagram-based,,,https://myschool.ng/storage/serve/9Dmy5U4sHxRuZ72pPfaVW4Pee0LWbVDhsWtUTDbQ.png | https://myschool.ng/storage/serve/2sZxMb28vwJzG3eHEisOH92oDGpbXxzs8807aHtk.png | https://myschool.ng/storage/serve/sae069zVtFT0YYhNWSpVyDjL19w7YFr4HE7JOx1E.png,Consider the following table SubstituteMeltig point / ºCBoiling point / ºCP- 78-25Q- 840R- 6150S44280 Which of the substances is a liquid at room temperature and rapidly evaporates on exposure to air?,P,Q,R,S,B,https://myschool.ng/classroom/chemistry/65884?exam_type=waec&exam_year=2022&type=obj&page=9
