Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2019,6,29,objective,,,,The opening lines of the stanzas are ________,trochaic,iambic,anapaestic,dactylic,B,https://myschool.ng/classroom/literature-in-english/58569?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,30,objective,,,,The first stanza rhymes ______,ab ac,ab ab,abcb,abba,C,https://myschool.ng/classroom/literature-in-english/58571?exam_type=waec&exam_year=2019&type=obj&page=6
2019,7,31,objective,,,,The speaker is ___________,Gratiano,Duke,Lodovico,Montano,B,https://myschool.ng/classroom/literature-in-english/58573?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,32,objective,,,,The speech is directly addressed to __________,Cassio,Brabantio,Othello,2nd Senator,B,https://myschool.ng/classroom/literature-in-english/58574?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,33,objective,,,,The speech is about ________,Brabantio's complaint about Othello.,Othello's loss of his handkerchief,Brabantio's loss of his daughter,the fight between Cassio and Roderigo,A,https://myschool.ng/classroom/literature-in-english/58575?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,34,objective,,,,"By the speech, the speaker attempts to __________",instigate the addressee,console the addressee,prevent a war,settle a fight,B,https://myschool.ng/classroom/literature-in-english/58576?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,35,objective,,,,The underlined expression means ________,one is bound to lose something in life,keep smiling even while being robbed,it is useful not to bemoan one's loss,the thief loses either way,C,https://myschool.ng/classroom/literature-in-english/58577?exam_type=waec&exam_year=2019&type=obj&page=7
2019,8,36,objective,,,,The speaker and the addrešsee are ___________,Lodovico and Roderigo,Clown and Lodovico,lago and Roderigo,lago and Clown.,C,https://myschool.ng/classroom/literature-in-english/58581?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,37,objective,,,,What binds the speaker and addressee together is their _______,hatred for Othello,fear of Cassio,fear of Cassio,hatred for Brabantio,A,https://myschool.ng/classroom/literature-in-english/58588?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,38,objective,,,,"The addressee is enjoined to Go, make money for ___________",wooing Desdemona,enriching lago,placating Brabantio,rewarding Bianca,A,https://myschool.ng/classroom/literature-in-english/58589?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,39,objective,,,,The underlined expression means ________,you have your way by making him angry,you gain by making his wife cheat on him,you will not be delighted at the result,you will have succeeded in seducing her,B,https://myschool.ng/classroom/literature-in-english/58590?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,40,objective,,,,The speaker's attitude to the addressee is one of ________,spite,envy,friendliness,intolerance,D,https://myschool.ng/classroom/literature-in-english/58591?exam_type=waec&exam_year=2019&type=obj&page=8
2019,9,41,objective,,,,The speaker is __________,Othello,Gratiano,lago,Cassio,A,https://myschool.ng/classroom/literature-in-english/58592?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,42,objective,,,,The setting is ___________,a street in front of the citadel,a street,the citadel,Desdemona's chamber,D,https://myschool.ng/classroom/literature-in-english/58593?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,43,objective,,,,The speaker is addressing _________,Duke and others,Emilia,the Senate,Lodovico and others,D,https://myschool.ng/classroom/literature-in-english/58594?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,44,objective,,,,The speech is intended to _______,preserve the speaker's reputation,express the speakers remorse,express the speaker's acceptance of guilt,denounce the speaker's enemies,A,https://myschool.ng/classroom/literature-in-english/58595?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,45,objective,,,,Among these unlucky deeds. the immediate one is _________,he killing of Desdemona,declaring Desdemiona as unfaithful,refusing to listen to Emilia,the sacking of Cassio,A,https://myschool.ng/classroom/literature-in-english/58596?exam_type=waec&exam_year=2019&type=obj&page=9
2019,10,46,objective,,,,The speaker is ________,Brabantio,Othello,Duke,Montano,B,https://myschool.ng/classroom/literature-in-english/58599?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,47,objective,,,,The occasion is _________,Othello's return from war,Othello's departure for Cyprus,Montano expressirig his delight after the tempest.,the defeat of the Turks.,A,https://myschool.ng/classroom/literature-in-english/58600?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,48,objective,,,,The dominant images are associated with _______,love,nature,sailing,war,C,https://myschool.ng/classroom/literature-in-english/58601?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,49,objective,,,,The scene reveals the speaker's __________,fear of adventure,affection for his wife,suspicion,fulfilment as a warrior,D,https://myschool.ng/classroom/literature-in-english/58602?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,50,theory,,,,The language of the extract is best described as _________,ironical,humorous,hyperbolical,sarcástie.,A,https://myschool.ng/classroom/literature-in-english/58603?exam_type=waec&exam_year=2019&type=obj&page=10
