Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2022,8,37,objective,,,,Speaker Y speaks in the voice of,Bottom,Demetrius,Oberon,Lysander,D,https://myschool.ng/classroom/literature-in-english/66196?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,38,objective,,,,Speaker Y's intention is to stop,plan,fight,plot,flight,B,https://myschool.ng/classroom/literature-in-english/66200?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,39,objective,,,,The wars are over,Helena,Titania,Hermia,Hippolyta,A,https://myschool.ng/classroom/literature-in-english/66202?exam_type=waec&exam_year=2022&type=obj&page=8
2022,8,40,theory,,,,Speaker Y's speech can be described as,cowardly,solemn,taunting,silly,C,https://myschool.ng/classroom/literature-in-english/66207?exam_type=waec&exam_year=2022&type=obj&page=8
2022,9,41,objective,,,,The speaker is,Egeus,Oberon,Puke,Theseus,B,https://myschool.ng/classroom/literature-in-english/66208?exam_type=waec&exam_year=2022&type=obj&page=9
2022,9,42,objective,,,,The relationship between the speaker and thou in the first line is one of,companionship,friendship,king and courtier,master and errand boy,C,https://myschool.ng/classroom/literature-in-english/66211?exam_type=waec&exam_year=2022&type=obj&page=9
2022,9,43,objective,,,,This sweet sight refers to,Bottom and Titania,Demetrius and Helena,Lysander and Hermia,Pyramus and Thisbe,A,https://myschool.ng/classroom/literature-in-english/66214?exam_type=waec&exam_year=2022&type=obj&page=9
2022,9,44,objective,,,,The pair are lovers by,accident,fate,design,fortune,C,https://myschool.ng/classroom/literature-in-english/66216?exam_type=waec&exam_year=2022&type=obj&page=9
2022,9,45,objective,,,,The speaker appears to be,blaming himself,commending the addressee,enjoying himself,lamenting the sight,A,https://myschool.ng/classroom/literature-in-english/66222?exam_type=waec&exam_year=2022&type=obj&page=9
2022,10,46,objective,,,,The speaker is,Bottom,Puck,Quince,Peaseblossom,A,https://myschool.ng/classroom/literature-in-english/66224?exam_type=waec&exam_year=2022&type=obj&page=10
2022,10,47,objective,,,,The speaker has just come out of,an appalling experience,a nightmare,an induced sleep,a rehearsal,A,https://myschool.ng/classroom/literature-in-english/66227?exam_type=waec&exam_year=2022&type=obj&page=10
2022,10,48,objective,,,,The architect of the speaker's current state is,Hippolyta,Oberon,Titania,Theseus,B,https://myschool.ng/classroom/literature-in-english/66230?exam_type=waec&exam_year=2022&type=obj&page=10
2022,10,49,objective,,,,It is a state of,deception,ignorance,illusion,innocence,C,https://myschool.ng/classroom/literature-in-english/66232?exam_type=waec&exam_year=2022&type=obj&page=10
2022,10,50,theory,,,,The speaker's language is best described as,comic,satiric,conceit,metaphoric,A,https://myschool.ng/classroom/literature-in-english/66234?exam_type=waec&exam_year=2022&type=obj&page=10
