Year,Page,Question_Number,Question_Type,Instruction,Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2017,4,19,objective,,,,Ten thousand saw i at glance....... Illustrates_________,Caesura,Climax,Bathos,Hyperbole,D,https://myschool.ng/classroom/literature-in-english/49848?exam_type=waec&exam_year=2017&type=obj&page=4
2017,4,20,objective,,,,Catharsis is normally associated with____________,Pantomime,Tragedy,Comedy,Farce,B,https://myschool.ng/classroom/literature-in-english/49850?exam_type=waec&exam_year=2017&type=obj&page=4
2017,5,21,passage-based,,,,The dominant feeling in the passage is that of______________,Hostility,Anger,Anxiety,Bitterness,C,https://myschool.ng/classroom/literature-in-english/49858?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,22,objective,,,,The feeling is conveyed by the use of_________,Long sentences,Visual images,Tactile images,Short sentences,C,https://myschool.ng/classroom/literature-in-english/49862?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,23,objective,,,,Their silence spoke millions illustrates___________,Oxymoron,Litotes,Tactile images,Short sentences,C,https://myschool.ng/classroom/literature-in-english/49865?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,24,objective,,,,The family bell summoned us is an example of__________,Apostrophe,Personification,Allusion,Euphemism,B,https://myschool.ng/classroom/literature-in-english/49867?exam_type=waec&exam_year=2017&type=obj&page=5
2017,5,25,passage-based,,,,The passage is__________,In First person,In Third Person,A Dialogue,Monologue,A,https://myschool.ng/classroom/literature-in-english/49868?exam_type=waec&exam_year=2017&type=obj&page=5
2017,6,26,objective,,,,The first stanza is a ____________,Tercet,Couplet,Quatrain,Sestet,A,https://myschool.ng/classroom/literature-in-english/49873?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,27,objective,,,,The poem evokes the senses of_______,Smell and Sight,Smell and Hearing,Sight and Hearing,Touch and Smell,C,https://myschool.ng/classroom/literature-in-english/49878?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,28,objective,,,,The dominant literary device used in the poem is_____________,Allusion,Repetition,Allegory,Metonymy,B,https://myschool.ng/classroom/literature-in-english/49879?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,29,objective,,,,The poet's tone is one of__________,Anxiety,Defiance,Nostalgia,Regret,C,https://myschool.ng/classroom/literature-in-english/49881?exam_type=waec&exam_year=2017&type=obj&page=6
2017,6,30,objective,,,,My ears will drink by eager of choice illustrates________,Oxymoron,Onomatopoeia,Synecdoche,Meiosis,C,https://myschool.ng/classroom/literature-in-english/49883?exam_type=waec&exam_year=2017&type=obj&page=6
2017,7,31,objective,,,,The speaker is_____________,Duke,Othello,Brabantio,Cassio,A,https://myschool.ng/classroom/literature-in-english/50039?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,32,objective,,,,The tale being referred to is___________,Duke's war exploits,Brabantio's rejection of the Othello and Desdemona relationship,Othello's war exploits,Brabantio's rejection of Othello's love for his daughter,C,https://myschool.ng/classroom/literature-in-english/50040?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,33,objective,,,,........this tale justifies_________,Roderigo's unrequited love for Desdemona,Cassio's promotion above Iago,Desdemona's attraction to Othello,Brabantio's rejection of Othello's love for his daughter,C,https://myschool.ng/classroom/literature-in-english/50042?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,34,objective,,,,The underlined expression means___________,Seek counsel elsewhere,Wait till the war is ended,Take your revenge,Make the best out of this,D,https://myschool.ng/classroom/literature-in-english/50043?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,35,passage-based,,,,According to the speaker__________,The tale was good enough to win a woman's heart,The fight was unnecessary,The charges were a waste of time,There were other matters demanding the attention of the Senate,A,https://myschool.ng/classroom/literature-in-english/50047?exam_type=waec&exam_year=2017&type=obj&page=7
2017,8,36,objective,,,,Othello is speaking to_____________,Brabantio,Duke,Montano,Roderigo,B,https://myschool.ng/classroom/literature-in-english/50048?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,37,objective,,,,The speech illustrates the use of________,Irony,Litotes,Paradox,Comic relief,A,https://myschool.ng/classroom/literature-in-english/50050?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,38,objective,,,,*A man he is honesty and trust refers to_________*,Cassio,Lodovico,Gratiano,Iago,D,https://myschool.ng/classroom/literature-in-english/50051?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,39,objective,,,,Othello is leaving to__________,Fight in Rhodes,Make peace with the Turks,Meet the government of Cyprus,Take over the government of Cyprus,B,https://myschool.ng/classroom/literature-in-english/50052?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,40,objective,,,,Othello then_________,Leaves with Desdemona,Entrusts Desdemona to Iago's care,Calls his lieutenant,Confers with the Duke,B,https://myschool.ng/classroom/literature-in-english/50053?exam_type=waec&exam_year=2017&type=obj&page=8
2017,9,41,objective,,,,His soldiership refers to______________,Roderigo,Montano,Cassio,Brabantio,C,https://myschool.ng/classroom/literature-in-english/50055?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,42,objective,,,,Sir refers to__________,Cassio,Roderigo,Othello,Duke,B,https://myschool.ng/classroom/literature-in-english/50057?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,43,objective,,,,Iago___________,Wants to go to Cyprus with Othello,Does not regard Roderigo as a good soldier,Is bitter about Cassio's appointment as Lieutenant,,C,https://myschool.ng/classroom/literature-in-english/50059?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,44,objective,,,,His eyes refers to____________,Lodovico,Cassio,Othello,Duke,B,https://myschool.ng/classroom/literature-in-english/50060?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,45,objective,,,,The setting is_______,The Castle,Cyprus,A sea-port,Venice,D,https://myschool.ng/classroom/literature-in-english/50061?exam_type=waec&exam_year=2017&type=obj&page=9
2017,10,46,objective,,,,The speaker is ________,Iago,Othello,Brabantio,Duke,B,https://myschool.ng/classroom/literature-in-english/50063?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,47,objective,,,,The first two lines express the speaker's_____________,Loneliness,Fear,Confusion,Regret,D,https://myschool.ng/classroom/literature-in-english/50064?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,48,objective,,,,The speaker has just_______________,Divorced his wife,Arrived home from war,Had a nightmare,Smothered his wife,D,https://myschool.ng/classroom/literature-in-english/50066?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,49,objective,,,,The speech is provoked by______,Emilia's call,Iago's treachery,Cassio's confession,Desdemona's plea,A,https://myschool.ng/classroom/literature-in-english/50068?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,50,objective,,,,The underlined expression suggests that____________,There is an imminent eclipse,Life will never be the same again for the speaker,Nothing will change,There is an impending danger for the speaker,B,https://myschool.ng/classroom/literature-in-english/50069?exam_type=waec&exam_year=2017&type=obj&page=10
